Job Title,Company Name,Experience Range,Salary,Location,Posted Date,Openings,Applicants,Job Description,Keywords
Team Leader,Inausco Digital,6 months duration,Unpaid,Jaipur,1 day ago,1.0,Less than 10,"Managing the day-to-day activities of the team.
Motivating the team to achieve organizational goals.
Developing and implementing a timeline to achieve targets.
Delegating tasks to team members.
Conducting training of team members to maximize their potential.
Empowering team members with skills to improve their confidence, product knowledge, and communication skills.
Conducting quarterly performance reviews.
Contributing to the growth of the company through a successful team.
Creating a pleasant working environment that inspires the team","Administration, Social media, Web development, Conceptualization, SEM, Link building, SEO, Digital marketing, Continuous improvement, Search engine optimization"
PPC Analyst,Inspiroweb Solutions,1 - 4 years,Not Disclosed,Jaipur,1 day ago,1.0,Less than 10,"Online Advertising
PPC
Google AdWords
Digital Marketing
google ads
Internet Advertising
ad campaign
E-commerce
Pay Per Click
Display Advertising
AdWords
Facebook Ads
Written Communication
search engine marketing
Google Adsense
Job Description
Manage all aspects of Google Ad campaigns.
Analyse and optimize pay-per-click (PPC) campaigns.
Provide recommendations and execute strategies for keyword opportunities, campaign structuring, targeting, display network, in accordance with organization goals.
Develop PPC strategies to increase online visibility.
Creating, maintaining, and optimizing paid campaigns through Google, and paid social platforms.
Review, Analyse and optimize landing page according to the campaign performance.
Campaigns creation and end to end execution - PPC campaigns, keywords, Ads.
Grow engagement through paid campaigns across key social media platforms.
Monitor analytics to make recommendations to improve engagement.
An understanding of search engine optimization (SEO) and search engine marketing (SEM).
Responsible for creating call to action landing pages with the help of the design and development team.","PPC, Display advertising, Search engine marketing, Social media, Google AdWords, SEM, SEO, Digital marketing, Analytics, Search engine optimization"
Digital Marketing Intern,Inausco Pty,No fixed duration,Unpaid,Jaipur,30+ days ago,1.0,156,"Manage SEO such as content strategy, link building, and keyword strategy
Optimize copy and landing pages for search engine marketing
Research and implement search engine optimization recommendations
Handle digital marketing including SEO, SEM, & SMM
Write content for emails, blog posts, and social media postings
Will be trained to provide monthly analytic reports with recommendations specific to driving and optimizing traffic, behaviour, campaign response, keyword research/analysis, SEO, and SEM opportunity
Implements continuous improvement in SEO strategies ensuring content is optimized for processing time and impact
Qualifications
Strong verbal or written communication skills.
Creative Talents and the ability to solve tough problems
Excellent understanding of digital marketing concepts","Search engine marketing, digital marketing intern, Social media, SEM, Link building, SEO, Digital marketing, Continuous improvement, Research analysis, Search engine optimization"
Web Designer,My City Jaipur,1 - 3 years,Not Disclosed,Jaipur,30+ days ago,1.0,106,"Candidate should have 1 to 3 years of experience in same field.

Salary : No bar the right candidate.","Sound Editing, Flash Designing, CSS, Animation, HTML, Photoshop, Flash, 3Ds Max, Graphic Designer"
Graphic Designer,My City Jaipur,1 - 5 years,Not Disclosed,Jaipur,30+ days ago,1.0,42,"Candidate should have 1 year of experience in same field.

Freshers can also apply.

Basic skill set needed : Flash, Photoshop, Illustrator, Basic MS- Office.

Salary : No bar for the right candidate.","Sound Editing, Flash Designing, CSS, Animation, HTML, Photoshop, Flash, 3Ds Max, Graphic Designer"
Graphic Designer,My City Jaipur,1 - 2 years,Not Disclosed,Jaipur,30+ days ago,1.0,27,"Candidate should be graduate or above and having 1 to 2 years of experience in same field.

Salary : No bar for the right candidate.","Sound Editing, Flash Designing, CSS, Animation, HTML, Photoshop, Flash, 3Ds Max, Graphic Designer"
Digital Marketing Executive,Gtc Placment Services,0 - 1 years,Not Disclosed,Jaipur,30+ days ago,1.0,149,"A Digital Marketing Executive is responsible for managing and executing digital marketing campaigns to promote products, services or brands
The executive should possess a strong understanding of digital marketing concepts, tools and trends, as well as the ability to analyze and interpret data
Developing and implementing digital marketing strategies and campaigns across various channels, such as email, social media, search engine optimization (SEO), pay-per-click (PPC), display advertising and content marketing
Managing and optimizing digital marketing budgets and campaigns to meet business goals and objectives
Conducting market research and analyzing consumer behavior and industry trends to identify opportunities and optimize campaigns","PPC, Display advertising, Executive, Social media, Market research, Management, SEO, Digital marketing, Digital Marketing Executive, Search engine optimization"
IPhone Developer (iOS),Mtoag,1 - 5 years,Not Disclosed,Jaipur,30+ days ago,1.0,51,"Proficient with Objective-C or Swift (depending on project requirements), and Cocoa Touch
Experience with iOS frameworks such as Core Data, Core Animation, etc.
Experience with offline storage, threading, and performance tuning
Familiarity with RESTful APIs to connect iOS applications to back-end services
Knowledge of other web technologies and UI/UX standards
Understanding of Apple s design principles and interface guidelines
Knowledge of low-level C-based libraries is preferred
Experience with performance and memory tuning with tools (such as Instruments and Shark, depending on project needs)","Performance tuning, PDF, Web development, Javascript, PHP, Internet marketing, Animation, Open source, Analytics, Android"
Digital Marketing Executive,Inausco Digital,1 - 5 years,Not Disclosed,Jaipur,30+ days ago,1.0,77,"Manage SEO such as content strategy, link building, and keyword strategy
Optimize copy and landing pages for search engine marketing
Research and implement search engine optimization recommendations
Handle digital marketing including SEO, SEM, & SMM
Write content for emails, blog posts, and social media postings
Will be trained to provide monthly analytic reports with recommendations specific to driving and optimizing traffic, behaviour, campaign response, keyword research/analysis, SEO, and SEM opportunity
Implements continuous improvement in SEO strategies ensuring content is optimized for processing time and impact
Qualifications
Strong verbal or written communication skills.
Creative Talents and the ability to solve tough problems
Excellent understanding of digital marketing concepts","Search engine marketing, Social media, SEM, Link building, SEO, Digital marketing, Continuous improvement, Research analysis, Search engine optimization, Digital Marketing Executive"
Graphic Designer,Vaibhav Global Ltd,2 - 7 years,Not Disclosed,Jaipur,30+ days ago,1.0,52,"We are currently seeking a skilled Graphic Designer to join our team
The successful candidate will be responsible for managing content and promotion requests from merchandise and sales teams, creating branded graphics packages for sales events, and delivering completed graphic assets to production and merchandise teams
In addition, the Graphic Designer will organize project working files, product decks, product photography, and other branding assets, and collaborate with cross-functional departments around the globe
Job Responsibilities:
Manage content promotion requests from the merchandise/sales teams
Create branded graphics packages for sales events
Deliver and notify production/merchandise teams of completed graphic assets
Organize project working files, product decks, product photography, and other branding assets
Collaborate with cross functional departments around the globe
Comply with company policies and procedures
All other duties as assigned by manager
Bachelor s, Associate s, High School, or GED degree with two to four years of relevant experience
Experience with digital graphic operations creating deliverables in a fast-paced environment
Proficient with Adobe Photoshop and Illustrator
Ability to manage multiple projects simultaneously
Ability to effectively utilize various software applications including Microsoft Office Suite
Attention to detail and strong organizational skills
Excellent oral and written communication skills
An ambassador of our Core Value: Teamwork, Honesty, Commitment, Passion, and Positive Attitude
BONUS CONSIDERATION: Motion graphics and or animation experience with Adobe After Effects
Physical Requirements
Remaining in a stationary position, often standing, or sitting for prolonged periods
Moving about to accomplish tasks or moving from one workplace to another
Repeating motions that may include the wrists, hands and/or fingers
The Great responsibility.
A fun-life balance.
Culture of openness and flexibility allows employees to keep growing and gravitating to roles that fit their talents and passions.
Attractive financial package for top talent.","Graphics, Sales, Renewable energy, Illustrator, Social media, Animation, SEZ, Customer service, Adobe After Effects, Merchandising"
