Job Title,Company Name,Experience Range,Salary,Location,Posted Date,Openings,Applicants,Job Description,Keywords
Cyber Security Analyst,ESAF Small Finance Bank (ESAF SFB),5 - 10 years,Not Disclosed,"Thrissur/ Trichur,Kerala",15 days ago,5,116,"Cyber Security Analyst needed for ESAF Small Finance Bank

Work Location : Thrissur

Work Mode : In Office

Qualification : BTech /BE - Computer / IT

Experience : 5+ years","Cyber Security, Information Security, Cyber Forensics"
Information/Cyber Security Analyst,zeotap,1 - 2 years,Not Disclosed,Bangalore/Bengaluru,30+ days ago,1,1742,"Our ideal candidate will be passionate about helping our enterprise customers and business teams across the globe, enjoy resolving problems, identifying root causes of issues, and thrive in a team environment
The incoming person would be responsible for end-to-end ticket resolution and communication with the customers and other stakeholders within the SLA, escalations to the internal teams based on SOPs, creation of internal knowledge based articles and perform engineering support activities as and when required
Responsibilities:
You will play a key role in the design and development of applications, including application security assessment, vulnerability assessment, penetration testing and source code review.
You will track the centralised log monitoring (SIEM) solution and monitor security feeds streaming from various sources, investigate intrusion attempts and perform in-depth analysis of exploits, indicators of compromise and other possible alerts generated by the SIEM tool.
You analyse a variety of network and host-based security appliance logs (Firewalls, NIDS, HIDS, Sys Logs, etc.) to determine the correct remediation actions and escalation paths for each incident, event analysis and must possess knowledge of operating systems, TCP/IP networking, network attacks, attack signatures, defence countermeasures, vulnerability management, and log analysis.
You will review and maintain network security on Zeotap and client VPCs, and suggest new security detection & protection solutions and tools to the Head of InfoSec.
You explore and operationalise new security tools and technology at Zeotap.
You conduct proactive threat research and offensive analysisYou actively participate in internal InfoSec compliance activities.
You analyse the vulnerabilities reported by independent security researchers via Zeotap s vulnerability disclosure program
You adhere to zeotap s company, privacy and information security policies and procedures
You complete all the awareness training assigned on time
Requirements:
6 months - 2 years of experience in performing Security and Network Operations activities
Good understanding of application security frameworks, vulnerability assessments and penetration testing (OWASP, SANS, PTES etc.)
Theoretical knowledge about Security Operations Centre (SOC), SIEM monitoring tools- log analysis, packet analysis and packet capture tools, TCP/IP networking, and reverse engineering.
Basic understanding of common databases and web technologies.
Good understanding of cloud security.
Knowledge on security testing tools like burp, nessus, metasploit.
Solid knowledge of computer networks and common protocols: TCP/IP, UDP, DNS, FTP, SSH, SSL/TLS, HTTP, and etc.
Proficiency in one or more programming/scripting languages (Python, Go, C/C++).
In-depth technical knowledge of Linux Operating Systems.
What we offer:
Competitive compensation & attractive perks
Health Insurance coverage
Flexible working support, guidance and training provided by a highly experienced team
Fast paced work environment
Work with very driven entrepreneurs and a network of global senior investors across telco, data, advertising, and technology","C++, FTP, Linux, Testing tools, Information security, SOC, DNS, Network security, HTTP, Python"
Senior Security Analyst,Network Intelligence India,2 - 5 years,8-15 Lacs P.A.,"Pune,Maharashtra",15 days ago,2,682,"Role & responsibilities:

Security Policies and Procedures:
Assist in the development and implementation of information security policies, standards, and procedures.
Educate employees on information security best practices and enforce compliance with policies.
Security Awareness and Training:
Assist in developing and delivering customer security awareness programs and training sessions.
Educate employees on security best practices, policies, and procedures to foster a security-conscious culture.
Security Governance and Compliance:
Support clients in establishing effective security governance frameworks, including roles, responsibilities, and accountability.
Assist in implementing and managing compliance programs, ensuring adherence to relevant regulations, standards, and frameworks (e.g., PCI DSS, ISO 27001).
Help clients prepare for and respond to external audits and compliance assessments.
Information Security Audits:
Conduct information security assessments for clients, including risk assessments and Cybersecurity maturity assessments, compliance audits, Third-party audits, etc.
Identify security gaps, vulnerabilities, and risks in clients' IT infrastructure, systems, and processes.
Write good quality reports of security audits / assessments.


Preferred candidate profile

Experience Required: Minimum 2 Yrs

Location: Mumbai/ Pune/ Bangalore

Interested Candidates can share their Resume/CV along with the below details at :
muskan.rai@niiconsulting.com

Total Experience :
Relevant Experience :
CTC :
ECTC :
Notice Period :
Current Location :
Job Location ( Onsite ) : Mumbai/Pune/Bangalore","PCI DSS, Internal Audit, ISMS, Iso 27001 Lead Auditor, Data Privacy, Gap Analysis, Risk Assessment, Information Security"
Information Security Engineer,Chingari,0 - 1 years,Not Disclosed,Bangalore/Bengaluru,30+ days ago,1,1209,"Skills and expertise you ll require
OWASP
Metasploit
Kali Linux
Nessus
Python
Blockchain
Roles and Responsibilities
You re awesome at and will be responsible for
Perform security assessments of Web Applications, Backend APIs, Android and iOS Applications.
Build in house tools to perform automated security testing.
Work with developers, implement code scanning and draft best practices as per infosec guidelines.
Understand the products and find the application security flaws.
Own the security and be the go to person for anything related to application security.
Educate the developers and product engineers on best security practices.
Bring security in place with SDLC.
Proactively perform vulnerability assessments across all our products, infrastructure and help the development team to patch vulnerabilities.
Improve the application security Monitoring with SIEM.
Participating in design and architectural discussions.
Provide estimates for security testing activities during SCRUM planning.
Draft security policies, IT governance as per crypto regulations.
Your Experience Across The Years in the Roles You ve Played
Good understanding of system, network and application security.
Should have at least 5 years of relevant industry experience.
Strong cryptographic background and implement crypto engineering principles and processes.
Blog / Write ups / Github / presented papers into conferences like Nullcon, PyCon.
Experience in building REST APIs and expertise in software development is preferred.
Programming experience into Python or Perl.
Very deep knowledge of OWASP top 10 vulnerabilities.
In depth understanding of cryptographic systems and protocols. Alice & Bob are your buddies. Experience in Solidity is good to have.
Hands-on experience in manual and automated security testing using tools like Burp Suite, Nessus, Zed Attack Proxy (ZAP), Linux security distribution like Kali or any other etc.
Active participation in Bug bounty, CTFs are good to have.
We Value Engineers Who Are
Customer-focused: We believe that doing what s right for the creator is ultimately what will drive our business forward.
Obsessed with Quality: Your Production code just works & scales linearly
Team players. You believe that more can be achieved together. You listen to feedback and also provide supportive feedback to help others grow/improve.
Pragmatic: We do things quickly to learn what our creators desire. You know when it s appropriate to take shortcuts that don t sacrifice quality or maintainability.
Owners: Engineers at Chingari know how to positively impact the business.
Qualifications - Who we are looking for
Bachelor s degree in computer science or a related technical discipline, with at least 5 years of related work experience in Python/perl and Linux.
Solid experience with systems, network, and large scale applications.
Good understanding of perimeter security, OSI protocols.
Strong communication and teamwork skills;
Passion about technologies and solving challenging problems.","Computer science, Linux, Information security, Social media, Perl, Scrum, Application security, SDLC, Android, Python"
Cyber Security Threat Intelligence Analyst- Kuwait based,Diyar United,3 - 6 years,Not Disclosed,Hyderabad/Secunderabad,25 days ago,3,508,"A. Accountabilities:
Handle the collection, analysis, and production of finished Threat Intelligence in support of Cyber Defense Technology, and additional lines of business.
Handle independent collection, analysis, and production of finished Threat Intelligence in support of Cyber Defense, Technology, and additional lines of business.
Collect information and conducting technical analysis to develop intelligence for the enterprise.
Maintain awareness of the global threat landscape and review complex, technical threat data, enrich it with contextual information and produce in finished intelligence Stakeholder consumption.
Conduct technical analysis and reporting that will influence proactive detection logic and methodology implemented within Cyber Defense.
Regularly collaborate with its Cyber Defense partners in Cyber Threat Detection, Active Defense, Digital Forensics and Incident Response, as well as the Cyber Defense Response Unit(s) to respond to incidents and aid in investigations.
Investigate security breaches and other cyber security incidents.
Document security breaches and assess the damage they cause.
Research security enhancements and make recommendations to management.
Stay up-to-date on information technology trends and security standards.

B. Qualifications
Experience with Threat Intelligence Platforms.
Experience in Digital Forensics.
Strong Understanding of firewalls, proxies, SIEM, antivirus, and IDPS concepts.
Knowledge and ability to identify threat actor attack methods and track their developments.
Experience in using the Diamond Threat Model or Cyber Kill Chain.
Experience in conducting threat modeling.
Experience working as Cyber Threat Analyst.

C. Experience:
3/- years experience in information Security or related field.

D. Education:
Bachelor Degree in computer science, Information Technology or related field.
Cyber Security Certifications: CEH, ECLPT, ECSA, OSCP, GCIA, CHFI etc.

E. General Remark:
The position is based in Kuwait based - Oil and Gas Sector.
Total budget : KD 900/- per month (inclusive Housing, Transportation and other allowances) unnegotiable.
Immediate joiners are preferable.
Interested can send their updated resumes at jobs@diyarme.com","proxy, threat modeling, Diamond Threat Model, siem, digital forensics, Certified Ethical Hacker, cyber security, Cyber Threat, Siem Tools, threat intelligence, IDS, Firewall Configuration"
Third Party Risk(Cyber Security) Consultant,Randstad,3 - 8 years,Not Disclosed,Hyderabad/Secunderabad,17 days ago,12,1000,"5 - 8 years of information security experience
ÃÂ Excellent understanding of information security and risk frameworks/standards (ISO 27001/2,
NIST 800 series, PCI-DSS, etc.)
ÃÂ Excellent knowledge of key risk areas such as cyber risk, compliance risk and regulatory risk
ÃÂ Strong knowledge and deep expertise in multiple areas of cyber security and how it impacts the overall business and IT objectives and priorities.
Some areas include (not limited to):

o Cyber risk strategy
o Cyber risk program management and delivery
o Cyber security operations
o Security architecture
o Data protection
o Application security/SDLC
o Third party risk management
o Cloud security
o Cyber Threat Intelligence
o Security Operations Center
o Incident Response
o Cyber Resilience
ÃÂ Understanding and knowledge of industry standards and industry frameworks (e.g., COBIT,
COSO, ISO 27001, PCI, NIST)
ÃÂ Demonstrate a general knowledge of market trends, competitor activities, Deloitte & Touche
products and service lines
ÃÂ Should be a good team player with excellent networking skills.


Regards,
Ravi
ravi.u@randstad.in
Randstad India","Incident Response, Cyber risk strategy, Data protection, Cyber Threat Intelligence, Third party risk management"
Tripwire Consultant - Cyber Security,Infosys,5 - 10 years,Not Disclosed,"Pune,Maharashtra",26 days ago,2,1061,"Report and dashboard creation
Task creation and modification
Rule creation and modification
Experience adding Axon Agents to console
Experience adding agent-less devices to console
Whitelist Proflier/Tripwire State Analyzer experience
Scheduled scan creation
Report generation
Experience deploying physical and/or virtual Device Profilers/VnE Manager
Reviewing and managing alerts
Experiencedepl oying virtual/physical TIV sensors
Location: Any location

Apply here (Copy paste the link): https://career.infosys.com/jobdesc?jobReferenceCode=INFSYS-EXTERNAL-163094

Job ID/Reference Code : INFSYS-EXTERNAL- 163094",Tripwire
"Information Security Analyst, NCT",Deutsche Bank,1 - 2 years,Not Disclosed,Pune,28 days ago,,585,"Role Description:
The Information Security Analyst is responsible for supporting the execution of the Information Security strategy. The Information Security Analyst provides data and analysis to measure the effectiveness of Information Security controls across group wide products and services. The Information Security Analyst identifies and evaluates potential areas of Information Security threats by assessing the probability and impact, and facilitates feedback for mitigation.
Roles within Information Security may cover one or more areas of speciality, e.g. Identity & Access Management (which may include, for example, authentication; access management & control; recertification etc.); Information Security (IS) Operations (which may for example include, cyber threat operations; cyber forensics, protection against data leakage etc.) and IS Technology (which may include IS architecture, IS engineering, cryptographic services etc.)
Overview
The DWS CSO I&A function designs, build, and operate strategic solutions for managing the request, approval, provision, revocation of privileged access and its recertification to ensure DWS stays compliant with internal and external controls and regulations.
We are in the process of building a IAM (Identity & Access Management solution) based on Forgerock and PAM (Privileged Access Management) solution based on CyberArk Technology in the Cloud
What well offer you
As part of our flexible scheme, here are just some of the benefits that youll enjoy
Best in class leave policy
Gender neutral parental leaves
100% reimbursement under childcare assistance benefit (gender neutral)
Sponsorship for Industry relevant certifications and education
Employee Assistance Program for you and your family members
Comprehensive Hospitalization Insurance for you and your dependents
Accident and Term life Insurance
Complementary Health screening for 35 yrs. and above
Your key responsibilities:
Execute Manual ID admin requests
Support all IAM or PAM related governance processes, e. g. operational run of Campaign recertifications, Detective SoD, On-boarding of accounts and applications
Execute compensating controls where IT implementation is not yet ready
Understand and define requirements and business processes
Support the Access Lifecycle processes for the strategic solution as well as compensating controls for tactical solutions
Understand and proactively manage operational, regulatory, and other risks related to the service
Support maintenance of IAM and PAM information assets across the organisation, including documentation, catalogues and risk assessments
Support UAT and Functional Testing of the IAM solution

Your skills and experience:
Knowledge of IAM and PAM processes and solutions
1 to 2 years of experience in Information Security, specifically Identity and Privileged Access Management
Understand the large scale thinking and approach of a global service
Proven experience in an ID administration role
Proven experience in an IAM Business Analyst role
Attention to detail and able to deliver high quality material to agreed timeframes
Good understanding of Information Security Control frameworks
Strong analytical and problem solving skills
Strong relationship management and communication skills
Knowledge of the financial services industry and its compliance issues is a plus","Security Analysis, risk assessments, Information Security Control, Privileged Access Management, IAM, ID administration, UAT, Functional Testing"
"Information Security Analyst, NCT",Deutsche Bank,1 - 2 years,Not Disclosed,Pune,22 days ago,,575,"The Information Security Analyst is responsible for supporting the execution of the Information Security strategy. The Information Security Analyst provides data and analysis to measure the effectiveness of Information Security controls across group wide products and services. The Information Security Analyst identifies and evaluates potential areas of Information Security threats by assessing the probability and impact, and facilitates feedback for mitigation.
Roles within Information Security may cover one or more areas of speciality, e.g. Identity & Access Management (which may include, for example, authentication; access management & control; recertification etc.); Information Security (IS) Operations (which may for example include, cyber threat operations; cyber forensics, protection against data leakage etc.) and IS Technology (which may include IS architecture, IS engineering, cryptographic services etc.)
Overview:
The DWS CSO I&A function designs, build, and operate strategic solutions for managing the request, approval, provision, revocation of privileged access and its recertification to ensure DWS stays compliant with internal and external controls and regulations.
We are in the process of building a IAM (Identity & Access Management solution) based on Forgerock and PAM (Privileged Access Management) solution based on CyberArk Technology in the Cloud.
What well offer you
As part of our flexible scheme, here are just some of the benefits that youll enjoy
Best in class leave policy
Gender neutral parental leaves
100% reimbursement under childcare assistance benefit (gender neutral)
Sponsorship for Industry relevant certifications and education
Employee Assistance Program for you and your family members
Comprehensive Hospitalization Insurance for you and your dependents
Accident and Term life Insurance
Complementary Health screening for 35 yrs. and above
Your key responsibilities:
Execute Manual ID admin requests
Support all IAM or PAM related governance processes, e. g. operational run of Campaign recertifications, Detective SoD, On-boarding of accounts and applications
Execute compensating controls where IT implementation is not yet ready
Understand and define requirements and business processes
Support the Access Lifecycle processes for the strategic solution as well as compensating controls for tactical solutions
Understand and proactively manage operational, regulatory, and other risks related to the service
Support maintenance of IAM and PAM information assets across the organisation, including documentation, catalogues and risk assessments
Support UAT and Functional Testing of the IAM solution

Your skills and experience:
Knowledge of IAM and PAM processes and solutions
1 to 2 years of experience in Information Security, specifically Identity and Privileged Access Management
Understand the large scale thinking and approach of a global service
Proven experience in an ID administration role
Proven experience in an IAM Business Analyst role
Attention to detail and able to deliver high quality material to agreed timeframes
Good understanding of Information Security Control frameworks
Strong analytical and problem solving skills
Strong relationship management and communication skills
Knowledge of the financial services industry and its compliance issues is a plus
How well support you
Training and development to help you excel in your career
Coaching and support from experts in your team
A culture of continuous learning to aid progression
A range of flexible benefits that you can tailor to suit your needs","Information Security, security analysis, IAM Business Analyst, Privileged Access Management, IAM, uat, cyber forensics, Functional Testing"
Information Security Analyst,Olam International,3 - 5 years,Not Disclosed,Chennai,30+ days ago,1,608,"Monitoring and analysis of cyber security events with the use of Splunk (SIEM), Demisto XSOAR, CrowdStrike Suite and other tools.
Execution of SOC Standard Operating procedures for the Security Event triage and Incident Handling.
Triage security events and incidents, detect anomalies, and escalate it to SOC L2 Response Team.
Analyse SOC Tools Health Monitoring alerts as per SOP.","Business process, Supply chain, IT services, agribusiness, Process improvement, Information security, Incident management, Outsourcing, Business intelligence, Monitoring"
