Job Title,Company Name,Experience Range,Salary,Location,Posted Date,Openings,Applicants,Job Description,Keywords
"Group Head - Analytics For leading Company, Mumbai",Le Human Resources Solutions,10 - 12 years,35-40 Lacs P.A. (Including Variable: 18%),Mumbai (All Areas),22 days ago,1,125,"Role & responsibilities
Worked on 8-10 production grade implementation of data science and data engineering projects
Knowledge of Big Data application development
Knowledge of data visualization tools
Strong hands-on knowledge of Apache Kafka, Spark, and visualization tools
Knowledge of API and microservice integration with applications
Experience of working with software configuration management tools like GIT
Experience in Cloud and ML Ops.
Responsible for solutioning, agile development, deployment, and delivery excellence
Manage multiple resources and projects concurrently to ensure successful completion of analytics projects
Build case for the value of analytics services directly to business functions, and engage deeply with stakeholders to identify opportunities to deliver business value
Take a hands-on execution role where required to support project needs and team development
Build, develop and maintain data models, reporting systems, data automation systems, dashboards and performance metrics support that support key business decisions
Design and build technical processes to address business issues
Mentor and develop developers and junior team members in Analytics Centre of Excellence
Ensure accuracy of data and deliverables with comprehensive policies and processes.
Manage and optimize processes for data intake, validation, mining and engineering as well as modelling and visualization
Kafka, Pyspark and Scala
AI/ML predictive and text/audio/video/image analytics etc.
Micro services and REST API
Awareness of Data structures - RDBMS, NoSQL and columnar databases.
Any of the visualization tools like Tableau, Elastic search or JS libraries etc.
Python Programming

Reports to
Head Analytics and Insights","Data Engineering, Python, Data Science, Pyspark, Big Data Analytics, Scala, Kafka, Big data, Tableau, Elastic search, Machine Learning, JS libraries"
Freelance Academic Writer ( Computer Science/ IT/ Data Analytics),Wordveda Learning Solutions,0 - 5 years,Not Disclosed,Delhi / NCR,1 day ago,6,327,"The role of Freelance Academic Writer (Computer Science/Data Analytics) would require candidates to work on academic deliverables from foreign curricula of higher educational institutions.
Candidates must possess an avid interest in learning and writing as they would be required
to work on academic tasks in various subject domains relating Computer Science, IT and Data Anaytics as well as Machine Learning.

PLEASE APPLY IN THIS opportunity ONLY IF YOU HAVE FLAWLESS ENGLISH WRITING SKILLS AND HAVE EXPERTISE IN TECHNICAL ACADEMIC RESEARCH & WRITING.

STRONG Academic Background in the above mentioned domains IS A BIG PLUS!!



Specific responsibilities include:

1. Working on Academic Assessments pertaining to different subject domains associated with the above mentioned domains. Also, the empanelled Freelance Experts need to be ready to research and write on domains related to Python Programming, Python Data Analytics, R Programming or R Studio Projects, Machine Learning Projects, Artificial Intelligence Projects etc. from M.Tech. or B.Tech. level academic standards.

2. Demonstrating strong comprehension skills and an ability to understand project/ client requirements.

3. Demonstrating strong research skills and an ability to undertake detailed research with respect to provided task requirements.

4. Demonstrating an ability to deliver non-plagiarised and professionally written Academic content.

5. Demonstrating an ability to comply with project deadlines, while tending to revision requirements based on client comments/ quality check.

6. Addressing urgent revision requirements received on assignments done by yourself and other experts as and when required.

7. Undertaking specific quality-check activities (checking quality of assignments done by other experts) as and when required.

Qualification and Experience
M.Tech./B.Tech. in Computer Science/IT or Data Analytics or other relevant engineering domains.
Above 65% throughout Academics
Only experienced academic experts or ones with some exposure to academic writing and research can apply

Required Skills
ÃÂ Strong command over relevant discipline(s) of specialization
ÃÂ Flawless command over Written English. Please DO NOT apply if you are not sure
of the same.
ÃÂ Ability to learn and solve problems
ÃÂ Ability to handle pressure and work on tight deadlines
ÃÂ Eagerness to learn & explore new things in new things across subject domains.","Academic Research, Python Data Analytics, Artificial Intelligence, R Script, Python, Java, System Analysis, Database Design, Tableau, Technical Writing, Machine Learning, Report Writing, Academic Writing, Software Development, R, Software Engineering, Technical, Computer Science"
IP Search Analyst,Sartorius,5 - 7 years,Not Disclosed,Bangalore/Bengaluru,24 days ago,1,13,"Perform prior-art searches for patentability, FTO and invalidity studies in external and internal patent databases
Facilitate patent mapping and patent landscaping in cooperation with IP Managers, Product Development and Corporate Research to explore emerging technologies and to identify future IP trends-Familiar with tools like Derwent data analyzer, STN anavist, Questel orbit
Evaluate 3rd-party patent rights in close cooperation with IP Managers and Product Development and Corporate Research colleagues
Evaluate new IP search and analysis tools and test their performance (benchmarking) in comparison with IP tools already in use at Sartorius
What will convince us:
Masters degree in biochemistry/ biotechnology/ life sciences/ biology/ chemistry/ data analytics or engineering
Qualification as a patent or IP search specialist would be an asset.
Minimum 5 years of professional experience as an IP search expert for a multinational corporation or commercial IP search service provider
Expertise in designing and implementing IP search strategies in Derwent Innovation, Total Patents, PatSnap, STN, Questel or other commercially available patent search tools.
Robust understanding of the basics of patent laws with regard to patentability, FTO analyses, invalidity procedures
Fluent in English
Excellent analytical skills, attention to detail, excellent interdisciplinary communication skills, intercultural competence for working in a multinational team.
Team player, ultrafast learner, personal resilience, perseverance, quick understanding of complex technical problems, meticulousness, Attention for detail.","Analytical skills, Patent landscaping, Intellectual property, Corporate, Agile, Biochemistry, Life sciences, Data analytics, STN, Patent search"
Data Science and Analytics Technology Lead For Infosys - C2H,Orcapod Consulting Services,5 - 10 years,7-12 Lacs P.A.,"Pune,Maharashtra",24 days ago,5,187,"We are looking for an immediate joiner for contractual position.

Key Responsibilities:
Big Data Expertise: Lead and mentor a team of data engineers and data scientists to design, implement, and optimize Big Data solutions utilizing the HDFS system.
Data Engineering: Develop and maintain ETL pipelines using tools such as Pyspark, Apache Fume, and Sqoop to ingest, transform, and store large volumes of data efficiently.
Orchestration: Implement workflow automation and scheduling using Apache Airflow to streamline data processing and analytics tasks.
Programming: Utilize Python for data manipulation, analysis, and modeling to derive actionable insights from complex datasets.
Cloud Services: Leverage Google Cloud Platform (GCP) services and tools, including BigQuery, Dataproc, MlOps, Vertex AI, DataFlow, and Pub/Sub, to build scalable and reliable data solutions in the cloud.
Machine Learning Integration: Collaborate with data scientists to integrate machine learning models into production systems and create a seamless MlOps workflow.
Data Governance: Implement data quality checks, data cataloging, and access controls to ensure data accuracy, security, and compliance.
Performance Optimization: Continuously monitor and optimize data pipelines and processes for efficiency, scalability, and cost-effectiveness.
Documentation and Best Practices: Maintain comprehensive documentation and promote best practices in data engineering and analytics within the team.

Qualifications:
Bachelor's or Master's degree in Computer Science, Data Science, or a related field.
X+ years of experience building Big Data solutions.
Proficiency in HDFS, Pyspark, Apache Airflow, and Python.
Familiarity with GCP services.
Strong grasp of data engineering and ETL processes.
Basic knowledge of machine learning and MlOps.
Problem-solving skills and ability to work well in a team.
Certifications in Big Data and GCP.
Experience with other cloud platforms (AWS, Azure).
Familiarity with data visualization tools.
Good leadership and project management skills.

Interested candidates can send their resumes at jasmi.kevin@orcapod.work with below details:
Current CTC
Expected CTC
Notice Period


Thanks & Regards
Jasmi Kevin | Sr. Consultant
Orcapod Consulting Services Private Limited
Mob: 91.9167661192| jasmi.kevin@orcapod.work","Pyspark, Bigquery, HDFS, Dataproc, Miops, Airflow, Vertex, Pubsub, Fume, Orchestrator, Gcp Cloud, Data Science, Sqoop, Data Flow, Python"
Hiring For Data Science and Analytics | C2H position For Infosys,Orcapod Consulting Services,6 - 10 years,Not Disclosed,"Pune,Maharashtra",24 days ago,5,42,"Hiring for
Data Science and Analytics Technology Lead

Data Skills --

Big Data domain, HDFS system, Pyspark, Orchestrator Airflow, Fume, Sqoop, Python
GCP Cloud

Services and tools like BigQuery, DatProc, MlOps, Vertex AI , DataFlow & pub/sub etc


If you are interested please share your updated Resume to the below mailid

Email:
bojaraju.lahari@orcapod.work","Pyspark, GCP Cloud, BigQuery, Big Data, DatProc, Orchestrator Airflow"
Assistant Professor Department of Data Science and Business Systems,SRM Institute Of Science Technology,0 - 15 years,Not Disclosed,Chennai,30+ days ago,1,76,"Developing and delivering course material, Conducting research, publishing papers, and attending conferences. Supervising, advising, and mentoring the graduate students and research scholars.
Functional Area

Teaching
Qualification
Ph.D. in Computer Science
Required Skills
Knowledge in Blockchain Technology / Gaming Technology / Data Analytics","Computer science, Publishing, data science, Manager Technology, Data analytics, Assistant Professor, Research, Gaming, Supervision, Teaching"
Data Scientist,Hbic Solutions,0 - 2 years,Not Disclosed,Hyderabad/Secunderabad,30+ days ago,1,6019,"The ideal candidate needs to work efficiently with the existing team members to design and be able to build the algorithms based on the client requirements.
Data collection, processing and analysing the data and generating the reports provided by the client or through various sources based on the requirement.
Must have sound knowledge in building various deep learning frameworks associated with the AI by developing a hypothesis, designing the data frames and analysing the testing criteria.
Requirements:
Must have professional experience of 0-2 years in one or more areas related to AI/Data Science.
Have the ability to work with different teams in the organization and have the ability to convey complex problems to the subject matter experts.
Have the ability to build algorithms from the packages that are available in Python.
Technical document writing based on the algorithm that is generated.
Excellent verbal and written communication skills.","deep learning, data science, Artificial Intelligence, Data collection, Packaging, Data analytics, Python, Testing"
Manager - Analytics & Data Science,BMC Software,10 - 12 years,Not Disclosed,Pune,30+ days ago,1,149,"  You should have a deep understanding of how different functions like R&D, Marketing Sales, Customer success work in an Enterprise Software company.
You are data-driven with strong analytical ability.
Helping BMC drive insight from data to make data driven decisions.
You are passionate about customers and building a culture of continuous improvement, therefore making a difference in our internal stakeholder experience.
You should be highly dynamic, meticulous with a process-driven approach, and have exceptional communication skills to build strong partnerships and support at all levels of the organization.
You have strong stakeholder management skills.
You understand about different facets of data along with a value mindset.

Key Responsibility & Role Expectation
You will lead a team and play a key role within our Analytics & Data Science team focused on:
Partnering with business leaders to deliver on priorities, with our R&D organization Executive Reporting being primary focus areas.
Work across our larger team and business functions (Customer Success, Sales & Marketing, Finance, etc.,) to ensure alignment across the customer journey analytics.
Develop a positive relationship and continuous collaborative engagement with stakeholders.
Manage and lead projects collaboratively with other Analytics, Operations, Business Finance and IT teammates.
Deep dive into data to discover and create new key insights that inform leadership decisions, to improve predictability, productivity, quality and user experience.
Leverage your experience in different initiatives spanning the customer lifecycle, such as Market Position, Marketing effectiveness, Sales Forecasting, Win/Loss analysis, customer retention, customer sentiment.
Help drive Best Practices in Analytics, Data Science and Data Governance
Be a strong communicator at every level: from IC to Executives and be comfortable delivering executive level presentations.
Lead and coach your team to enable them grow and develop, in a culture that promotes high performance, accountability and continuous improvement.
Be a an innovator and thought leader by staying current with industry trends and best practices and look for ways to continuously improve and innovate.
Assist in long-range strategic planning that will meet the changing and future needs of the business.
Ready to roll-up sleeves and jump into the work with the team - business insights, analytics, predictive/AI work etc.

Professional Experience
10+ years Analytics functional leadership in some of the following areas: Marketing, Sales, Customer Success, Revenue Operations, R&D (preferred) - in an Enterprise Software company
10+ years of experience leading global and multicultural teams/organizations
Puts people & team first: leads by example with strong emphasis on development, coaching, mentoring, etc.
Strategic thinker with an ability to develop, manage and deliver on roadmaps, with an ability to being a perspective on best in class.
Experience leading and managing transformation, with demonstrable results in enabling change, innovation and delivering business outcomes.
Strong communicator (in English) at all levels, from Executive to Individual Contributor, and be comfortable delivering Executive level presentations to drive change.
Good at building partnerships and cross-functional collaboration, with an ability to manage conflict in a positive way.
Comfortable working in a global, matrixed organization
Relentless team player, collaborator, connector and learner
Strong bias towards action and failing fast.
Strong attention to detail and ability to manage competing priorities.
Technically savvy on Data Management, BI, and Data Science tools & skills
Strong knowledge of key applications e.g., SFDC platform, JIRA, with other applications beneficial, e.g., Eloqua, Gainsight etc.
Project management and problem-solving skills

Plus:
Experience with Analytics Governance and data literacy in a large complex enterprise
Experience in developing data science solutions and operationalizing at scale.
Experience in deploying and realizing value from analytics and automation solutions.

Education & Skills
Bachelor s Degree in a Quantitative Field (Statistics, Econometrics, Management Sciences, Market Research, Mathematics, Computer Science, Engineering, Data Science, Analytics, etc.) - Advanced degree preferred
Advanced Excel and PowerPoint knowledge
Core analytics visualization tools (Tableau, MicroStrategy, CRMA etc.)
Some experience with Data platforms and tools, e.g., Snowflake, SQL, AWS, S3, Python, R, Alteryx, Databricks etc.
Data Science Platform knowledge e.g., Data Robot, SAS
Knowledge of CRM (Salesforce, HubSpot, Insightly, etc.), Marketing Automation Tools (Eloqua, Marketo, etc.) and Customer Success Applications (e.g. Gainsight)
Experience using digital analytics tools like Adobe Marketing Cloud or Google Analytics","SAS, Data management, Project management, Analytical, Strategic planning, Customer retention, Market research, Recruitment, CRM, Salesforce"
Data Engineer,Object Technology Solutions,5 - 8 years,Not Disclosed,Hyderabad/Secunderabad,25 days ago,1,600,"Design and Develop Data Analytics
Develop expertise in data mining and analytic methods
Solve complex optimization problems using linear and nonlinear optimization techniques
Develop and generalize data science solutions in a production data pipeline using statistical and machine learning techniques
Determine statistical validity and significance (pick out signals from noise)
Apply statistical methods to detect anomalies, trends and shifts
Develop Modern Visualization Solutions
Automate business reporting needs and organize into user friendly dashboards in multiple platforms (desktop/web/mobile)
Facilitate interactive design sessions with customers
Use experimentation methods and design tests to optimize key user experiences
AI/ML Solutions
Define requirements, diagnose, design, and analyze information related to the adoption of AI/ML solutions
Quantify, track, and monitor operational impact of AI/ML solutions
Identify new AI/ML use-cases and best practices across strategic and operational processes
Develop business case, mockup, including impact validation approach, ROI of potential solutions and prioritize & propose projects for implementation
Ability to think critically and break down complex data/processes to identify key levers and applicable solutions
Apply AI/ML methods to large text data sets to provide improve data analytic and reporting solutions
Ensure a Safe, Compliant, and Ethical Work Environment
Comply with company safety, labor, and ethics policies
Oversee execution of mandatory training for direct reports
Encourage a culture of safety and recognize contributions made to supporting a safe work environments
Participate in process improvement activities
Identify errors before they get to the next step
Provide timely feedback when quality, safety, or ethical issues arise
Follow and support company-wide and department safety procedures to maintain a clean, safe, and accident-free work environment
Promote high integrity processes that will enable immediate sharing of problems, issues and solutions with management team.
Qualifications:-
Bachelors Degree in Computer Science or Information Technology
At least 5 years of working experiences in the following areas:
Developing software application (Java, C#) and business intelligent solutions (Apache Nifi, Tableau or Microsoft Power Platform)
Strong knowledge of relational databases, table design, SQL query and optimization of queries.
Familiar with database management system (Microsoft SQL, Hana or Snowflake)
Knowledge of Agile development process
Strong problem-solving skills with ability to multi-task and manage multiple projects simultaneously
Possess the ability to work in several areas of a development life cycle as part of a team or independently
Self-motivated, strong ownership and ability to work independently with minimal supervision
Excellent oral and written communication skills
Very high attention to detail and data accuracy and quality
Strong team player with experience working on projects with global stakeholders","Snowflake, Data science, Data Analytics, powerbi, Python, Artificial Intelligence, Machine Learning"
Power BI Developer,Solverminds Solutions And Technologies,2 - 3 years,Not Disclosed,"Chennai,Tamil Nadu",25 days ago,1,910,"We are seeking a highly motivated and detail-oriented Power BI Expert who can join our team in Chennai. The ideal candidate will have a strong background in Power BI, MySQL and MS Excel 

What will make you successful:
Proficiency or familiarity with data science, business intelligence, and data analytics
Must be aware of data integration, data warehousing, modeling, along with presentation tactics and concepts
Experience of working with BI tools and BI systems. In addition, must be able to build rich dashboards, write DAX expressions, and also implement security
Knowledge in scripting and programming language such as Python.
Minimum 2-3 years of experience of working with BI tools
Knowledge about database management, SQL querying, data modelling, Online Analytical Processing
In depth knowledge of Microsoft Business Intelligence stack like Power Pivot, SSRS, SSIS, and SSAS.
Proficiency in English and effective communication skills are required


How you will contribute:
Study, analyze and understand business requirements in context to business intelligence
Design and map data models to shift raw data into meaningful insights.
Utilize Power BI to build interactive and visually appealing dashboards and reports
Spot key performance indicators with apt objectives
Analyze pervious and present data for better decision making
Transform business requirements into technical publications
Build multi-dimensional data models
Develop strong data documentation about algorithms, parameters, models
Perform detailed analysis on tested and deployed Power BI scripts
Run DAX queries and functions in Power BI
Define and design new systems
Take care of data warehouse development
Make essential technical and strategic changes to improvise present business intelligence systems
Identify the requirements and develop custom charts accordingly
SQL querying for better results
Should able to process the data from different data sources such as MySQL, Excel, RDBMS etc
Manage end to end delivery, including production deployment, monitoring and reviewing regularly

What are the benefits you will receive as a Solver
Medical Insurance
Leave Travel Allowance, Shift Allowance
Interest free employee Loan
Cab facility
Workspace flexibility with a Healthy & Friendly Environment
Rewards & Recognitions
Career Growth
Community awareness and involvement programs
Health and wellness initiatives
Sports and recreation activities

\What are the other opportunities available at Solverminds
At Solverminds, we constantly hunt for innovators who are passionate and who can design great experiences that exceed our customers expectations. Please visit our careers page to explore the opportunities that are waiting for you.
https://www.solverminds.com/careers/available_positions/","Business Intelligence, Power Bi, SSAS, SSRS, SSIS, Data Science, Bi Tools, Dax, Data Warehousing, Data Modeling, Data Analytics"
