Job Title,Company Name,Experience Range,Salary,Location,Posted Date,Openings,Applicants,Job Description,Keywords
Senior Developer - Java,Grid Infocom,5 - 10 years,Not Disclosed,Gurgaon/Gurugram,2 days ago,1,31,"Expert level skills in Java/ J2EE programming, Spring framework (spring IOC, spring security, ) Hibernate, Strong knowledge of web services RESTful web services
Spring Boot including real world experience developing apps for the corporate world.
Proficiency in Java and object-oriented design skills
Application architecture and design patterns
Experience in designing single page application backend. Worked in projects to deliver end-to-end product features.
Experience in Configuring and deploying applications on application servers including Tomcat.
Sound RDBMS and NoSQL concepts (Microsoft SQL, MySQL, PostgreSQL, MongoDB) and ORM technologies (JPA, Hibernate)
Experience in designing single page application backend. Worked in projects to deliver end-to-end product features.
Knowledge of XML Suite of Technologies XML would be an advantage.
Hands on experience with contemporary build and deployment tools
Excellent use of IDEs and productivity tools including tools for testing
Knowledge of Message Queues and their use including Kafka, RabbitMQ, and MSMQ
Experience serving as technical lead throughout the full software development lifecycle, from conception, architecture definition, detailed design, scoping, planning, implementation, testing to documentation, delivery and maintenance is preferred
Knowledge of professional software engineering and best practices for the full software development life cycle, including coding standards, code reviews, source control management, build processes, testing, and operations
Experience in development of distributed/scalable systems and high-volume transaction applications
Proven hands-on Software Development experience
Proven working experience in Java development
Contribute in all phases of the development lifecycle
Write well designed, testable, efficient code
Ensure designs are in compliance with specifications
Prepare and produce releases of software components
Support continuous improvement by investigating alternatives and technologies and presenting these for architectural review","Object oriented design, Hibernate, Tomcat, RDBMS, Coding, Java J2Ee Developer, XML, Postgresql, MySQL, JPA"
Java Full Stack Developer - Gurgaon Location,Lemon Tree Staffing,6 - 8 years,18-22.5 Lacs P.A.,"Gurgaon/ Gurugram,Haryana",3 days ago,1,666,"JOB DESCRIPTION:-
Candidate would be part of product engineering team for mobile money platform. As part of job, you would be required to customize core product, Configure, and deploy the product and take it through various SLDC phase development, code merge, deployment and perform system integration test. including UAT, Beta launch, Go-Live and warranty.
Looking for full stack developer in JAVA tech stack with strong experience in microservices.
Must have Skills:-
Language: Java, J2EE, springboot (min 2 yr. exp) with exposure to any msg broker (RabbitMQ, Apache Kafka, Active MQ) , angular/react ( Min 6 months) , node JS
OS: Linux/ Unix
Database: Oracle, postgres, MongoDB
API integration (SOAP, REST,ISO etc), Unit Testing Development Tools:- IntelliJ/, Postman, SQLdeveloper/ Toad/ DViewer, Putty,
Good to have / Optional: Application security, Grafana, Prometheus, shell scripting basics, KrakenD
Key Activities:-
Write code in Java / related technologies including GUI development using angular
Assign and track the work for the team. Own the Quality of code.
Review the code Submitted by the developers, guide developers to incorporate required changes and conduct Unit testing, after preparing Unit Test Plans and necessary stubs.
Conforming to company guidelines against written requirements & high-level design documents, particularly for complex modules that cannot be handled by junior developers.
Work in an IDE while developing code (especially in Java) and use GIT, SVN or any other CM tool being used in the company, for checking in and checking out the code being developed.
Integrate code and third-party interfaces/ check points and perform integration test
Owe and drive performance Engineering activities
Draft technical documentation (SOP & MOP) for various system level activities and maintenance","Java Fullstack, Unix, Prometheus, Spring Boot, Node.Js, Soap, Grafana, microservices, Rest, apache Kafka, j2ee, Toad, Oracle, shell scripting basics, postgres, IntelliJ, Java, ISO, Sql developer, Putty, Activemq, Dviewer, KrakenD, Rabbitmq, angular, Linux, MongoDB, Postman"
Lead Engineer (Java),Neemtree Internet,6 - 10 years,Not Disclosed,Gurgaon/Gurugram,30+ days ago,1,Less than 10,"1. Candidates should have 6-10 years hands on experience in building backend web application using Java, Springboot/Dropwizard, Postgres, Redis, Mongo or any NoSql database. Must have experience in AWS/Azure cloud based services.
2. Experience in managing(fine-tuning for performance, migration activity) postgres database is must.
3. Understanding and exposure to solving slow queries, setting up database for high availability will be helpful.
Experience Range:
6 - 10 years
Educational Qualifications:
B.Tech/B.E,andM.Tech
Skills Required:
Java,Spring Boot,Database,Microservices","spring boot, Backend, NoSQL, Java J2Ee Developer, Web application, Focus, Database, Technical Lead, UPS, Solution architecting"
Java Developer - CashOS,Cashos Technologies Pte Ltd,2 - 5 years,Not Disclosed,Kolkata,30+ days ago,1,481,"Job brief:
We are looking for a talented Java Developer to create amazing Business Applications experiences. The ideal candidate should have Core Java development skills , Java Script, good coding skills working with other team members to provide APIs and Microservice development
 
Important Note for Applicants
CashOS is a start-up. If your primary objective of joining is a salary hike,
Please don?t apply We are only looking for candidates who want to learn,
Contribute and grow along with the company.
Few important things are covered by company by default. We respect our team members and make sure they are covered in following
1) Challenging role
2) Start-up Environment
3) Lot of learning
4) Excitement,
5) An exhilarated rollercoaster ride,
6) On-time Salary.
  Responsibilities:
? Collaborate with other engineers to develop, detailed so documentation.
? Provide accurate engineering estimates Participate in specification, design, implementation, evangelism and support of the product, as well as
? improve existing features and product performance
? Work with a small team (4-10) engineers on a daily basis,
? Using Agile engineering practices and continuous integration.
? Write clean, maintainable and efficient code.
? Design robust, scalable and secure features.
? Contribute in all phases of the development lifecycle.
? Follow best practices (test-driven development, continuous integration, SCRUM, refactoring, code standards)
? Drive continuous adoption and integration of relevant new technologies into design. ? Team player with the willingness to work with distributed teams.
Requirement
? Experience in design, development, integration, and testing of software solutions based on J2EE technologies including servlets and Java Server Pages (JSP).
? Experience in any MVC framework such as Struts or Spring MVC.
? Experience with JQuery, HTML, CSS.
? Experience with REST Web Services(JSON).
? Experience in databases(MySQL) writing SQL Queries
? Knowledge of Spring Boot / Grails
? Experience working in web services
? Building Web Applications for SasS Multitenant Environment
Key Skills
Core Java, Hybernate,Web Services, JSON, JQuery, Ajax, CSS, HTML, SVN, Javascript and MySQL.","Core Java, jQuery, Coding, JSP, MySQL, Agile, Struts, J2Ee, HTML, Ajax"
Data Product Manager,TRH Consultancy Services,8 - 13 years,Not Disclosed,Hyderabad/Secunderabad,22 days ago,,180,"Project Manager will be accountable to handle the projects with delivery aspect such that the client is satisfied.

Ability to manage a large size customer Overall planning execution.

Lead planning and implementation of projects.

Resource Allocation and Management.

Develop and maintain project metrics and dashboards.

Ensuring profitability of the project by accounting, costing and billing of projects.

Project schedule and tracking preferably JIRA or any other Scrum based tracking tool.

Manage Risk and Issues logs with mitigation plan.

Timely communicating with all stake holders about the status of the projects.

Manage and trace requirements and scope creep.

To keep client satisfied and grow the account.

Have in depth knowledge and experience of Software Design and Development in J2EE, (MVC Architecture using spring (3.1 & above) and Hibernate (4.2 & above) frameworks.) Database Oracle and WebLogic /JBOSS/Tomcat.

Project Management.

Scoping the technical solution required to address customer requirements, assesses customers met and unmet needs, and recommends optimum solutions.

Hands-on experience in software development and web technologies.

Excellent client-facing, interpersonal, internal communication and presentation skills.

Strong analytical and problem-solving skills.

Should have implemented end to end projects (Oracle, Java)

Experience building Mobile Apps.

Software development and web technologies. Jira or any other scrum-based tracking tool.
Location: Delhi, Bangalore,Hyderabad,Chennai,Mumbai,Pune,Kolkata,Coimbatore","Product Management, MVC Architecture, Java, Tomcat, JBOSS, J2EE, Jira, Software Development, WebLogic, Project Management, Oracle, Database Oracle, Software Design"
Vue.js Developer,4Bell Technology,3 - 8 years,Not Disclosed,Mumbai,22 days ago,,192,"Strong experience with Nuxt js or Vue js

- Knowledge on Algorithms, Object Oriented Programming and Design Patterns.

- Knowledge / experience in Java / J2EE technologies, n-Tier Architecture, WebServices (REST APIs, SOAP, etc), Spring Frameworks

- Study, Design and prototyping of new technology implementation.

- experience of creating highly scalable, robust web applications

- Self-motivated and detail Oriented

- Good written and oral communication skills

- Go getter attitude","Vue.js Development, REST API, Java, J2EE, SOAP"
Associate Principal Engineer (Java Full stack Architect),Nagarro,9 - 12 years,Not Disclosed,"Gurgaon/ Gurugram,Haryana",22 days ago,1,118,"We're Nagarro.

We are a Digital Product Engineering company that is scaling in a big way! We build products, services, and experiences that inspire, excite, and delight. We work at scale across all devices and digital mediums, and our people exist everywhere in the world (20000+ experts across 33 countries, to be exact). Our work culture is dynamic and non-hierarchical. We are looking for great new colleagues. That is where you come in!

Requirements:

Must have expert with Cloud architecture, Data Modeling , Docker, Kubernetes, UML
Web related: HTML5 (Expert), CSS (Expert), JavaScript (Expert)
Frontend frameworks, two or more of: React (Capable), Angular 2, Angular 4, Angular 6, Angular 8, Angular JS, Ember.js, Vue.js
Other languages, One or more of: Java 8, Java 9, Java 10
Frameworks, all of: EJB, Servlet, Spring Core, Spring MVC, Spring Boot, Hibernate, Unit testing.
Frameworks, One or more of: Java SE, Jave EE 7. CI/CD Concepts
Concepts, All of these: Microservices architecture (MSA) (Strong), REST, Cloud development (Strong), Concurrent design and multithreading (Strong), Object Oriented Programming System (OOPS), Service-oriented architecture (SOA) (Strong), Design patterns (Strong)
Design and develop complex mappings, performance tuning of mappings, Process Flows
Hands on experience on System designing, Event sourcing and message broker architecture.
Requirement gathering and analysis.
Define, understand, and analyse non-functional requirements for project.
Should be able to compare technologies to find best fit for project requirements.
Should be able to troubleshoot complex or unusual bugs.


Responsibilities:

Writing and reviewing great quality code / support
Understanding the clients business use cases and technical requirements and be able to convert them into technical design which elegantly meets the requirements.
Mapping decisions with requirements and be able to translate the same to developers.
Identifying different solutions and being able to narrow down the best option that meets the clients requirements.
Defining guidelines and benchmarks for NFR considerations during project implementation
Writing and reviewing design document explaining overall architecture, framework, and high-level design of the application for the developers
Reviewing architecture and design on various aspects like extensibility, scalability, security, design patterns, user experience, NFRs, etc., and ensure that all relevant best practices are followed.
Developing and designing the overall solution for defined functional and non-functional requirements; and defining technologies, patterns, and frameworks to materialize it
Understanding and relating technology integration scenarios and applying these learnings in projects
Resolving issues that are raised during code/review, through exhaustive systematic analysis of the root cause, and being able to justify the decision taken.
Carrying out POCs to make sure that suggested design/technologies meet the requirements.","J2ee, Java Fullstack, Angular, cloud, React.Js, Java, Azure, Kubernate, Amazon web services, Full Stack, react, Microservices, Docker, UML, AWS"
Software QA Automation Engineer with Spring Boot,JRD Systems Private Ltd.,7 - 8 years,Not Disclosed,Kolkata,30+ days ago,1,293,"Must have Spring Boot experience.
Responsible for developing, executing automated test suites, and testing approaches throughout the SDLC from design, delivery, operations, and maintenance. This individual will collocate with the Development teams and Operations teams for ensuring overall code quality and ongoing maintenance and operations of a set of applications.
Job Description:
Develop automation test suite using Java, SpringBoot for API testing
Develop UI automation suites using Java & Selenium
Participate in developing and documenting User Stories by providing the test strategy and automation estimates
Develop, document, and maintain the test strategy and test scenarios
Build and execute unit, component, acceptance, integration, load, security, scalability, usability, and platform tests
Conducts code reviews to ensure consistency, quality, and reusability of test automation artifacts
Partner with the developers to ensure all areas of the application are fully tested and to find technical solutions for test automation
Build and manage automated test suites and ensure execution through various environments, CI-CD pipelines and to be used by NOC teams.
Regularly execute, maintain and upkeep automated test suites and analyze the results to identify the cause for failures.
Create defects for issues found with appropriate details and ensure issues are resolved, including validation of the fix, and required automation updates
Present appropriate results to sign off on software functionality for new Production releases
Work with cross team impacts and release management to manage dev, QA, and production release of the software
Perform exploratory testing to understand the feature and how it is implemented, to find additional or unexpected behavior, and to refine and define additional test cases for the feature
Contribute to the QA automation framework using industry standard tools and approaches
Leverage and enhance coding standards and best practices for automated QA code
Participate in analyzing Major Incidents and Emergency Change controls to identify opportunities to automate software quality test cases to reduce or eliminate those
Qualifications:
MUST HAVE SPRING, SPRING BOOT Experience (Hands on professional experience)
Bachelor s degree in computer science or equivalent experience.
Minimum 7 years of industry experience, preferably in an Agile development environment.
Must have 5+ years experience in API automation testing using JAVA Springboot2.
Must have 5+ years experience in automation UI using Selenium & Java
Experience in Mobile Automation is a plus
Ability to work independently with an aptitude for detailed work and follow-up activities.
Ability to multitask in a fast-paced agile work environment
Experience in heavy traffic eCommerce application","Computer science, Automation, Coding, Java J2Ee Developer, Agile, Selenium, Test cases, software quality, Release management, SDLC"
Tech Lead/ Sr. Java Developer,Digilytics,5 - 7 years,Not Disclosed,Gurgaon/Gurugram,30+ days ago,1,99,"Understand the DigilyticsTM vision and help in creating and maintaining a development roadmap
Interact with clients and other team members to understand client-specific requirements of the product
Contribute to product development team and deliver product releases in a timely manner
Ensure the quality of the product delivered
Develop client-specific solutions using the product
Liaise with multiple stakeholders and coordinate with our onshore and offshore entities
Respond to client feedback
Expected and Desired Skills
Hands-on experience with: o Java, Spring Framework, Hibernate, JPA, Spring Boot o Databases like Oracle, MySQL, MongoDB etc. o REST/SOAP web services and Service Oriented architecture o JavaScript/JQuery/HTML/CSS o Experience on AWS, Azure or Google Cloud
Strong programming skills and deep understanding of technical delivery
Excellent understanding of analytical techniques and technology landscape
Excellent problem solving skills
Good interpersonal skills and the ability to communicate ideas clearly at all levels
Ability to work in unfamiliar business areas and to use your skills to create solutions
Ability to both work in and lead a team and to deliver and accept peer review
Flexible approach to working environment and hours to meet the needs of the business and clients
Experience
A start up mind set with proven experience working in both smaller and larger organisations having multicultural exposure
Between 5-7 years of experience working closely with the relevant technologies, and developing world-class software and solutions
Domain and industry experience by serving customers in one or more of these industries - Financial Services, Professional Services, other Retail Consumer Services
Education Background A Bachelors degree, or equivalent, preferably in Software Engineering and Computer Science","Computer science, Hibernate, jQuery, Java J2Ee Developer, MySQL, Javascript, HTML, JPA, Oracle, Financial services"
Java Developer CTPL,Cleric Technology,1 - 6 years,Not Disclosed,Mumbai,30+ days ago,1,6071,"Hands-on individual responsible for producing excellent quality of code, adhering to expected coding standards and industry best practices.
Designing and implementing Java-based applications.
Analyzing user requirements to inform application design.
Defining application objectives and functionality.
Aligning application design with business goals.
Developing and testing software.
Debugging and resolving technical problems that arise.
Producing detailed design documentation.
Recommending changes to existing Java infrastructure.
Transforming requirements into stipulations.
Prepare and produce releases of software components.
Developing multimedia applications.
Developing documentation to assist users.
Ensuring continuous professional self-development.","Software testing, Application design, Software design, Coding, Debugging, Production, J2Ee"
