Job Title,Company Name,Experience Range,Salary,Location,Posted Date,Openings,Applicants,Job Description,Keywords
Full Stack PHP Developer,NilaApps,2 - 5 years,Not Disclosed,"Chennai,Tamil Nadu( Taramani )",7 days ago,3,198,"Full Stack Developer :
Nila Apps is looking for Full Stack developers in Chennai with experience in PHP platforms with AngularJS front end to join our team in Chennai. As a member of our team, you will support the development of various web and mobile apps using AWS cloud infrastructure. You will help develop features such as payment processing, campaign management, event management, messaging, etc. You must be passionate about bug free code and automated unit testing.
We are a fully automated DevOps shop with Automated Software Deployment and automated publishing of hundreds of mobile apps to the Apple and Google play store. If you are looking for a challenging opportunity working with technologies such as AWS Lambda, Code Star, Cloud formation, Container deployment, SES, EC3, Route53 etc, we would like to talk to you. As a fast growing company with several customers and new products, we provide an environment where the growth potential is huge and the ability to work on different new technologies is high.

Your responsibilities include, but not limited to:
Creating applications using PHP backend
Developing frontend code using AngularJS framework
Creating unit test and test automation scripts
Participate in code reviews and providing input for improving coding standards
Develop and maintain DevOps scripts for automated deployment
Analyzing and Troubleshooting of issues/bugs/enhancement requests and suggesting appropriate solutions
Provide input to product development team regarding new feature request based on customer interactions
Maintain software documentation using tools such as Confluence, Giffy, and Jira

Requirements
Desired Candidates :
Bachelor's degree in any major.
Experience of 2 to 6 years as a full stack developer using PHP platforms
Experience working with frontend technologies such as Angular JS.
Experience working with MySQL or SQL Server or Oracle database

Nice to have skills/experience includes:
Building microservices using Spring boot
Knowledgeable in, REST/SOAP Web Services
Experience working with payment gateways
Experience with AWS Lambda, API gateway, SES and other services
Developing server side REST API using PHP or Java
Experience with third party integration with GSP providers, SMS messaging providers
Automation tools such as fast lane, cloud formation, etc","Angularjs, MySQL, php, Core PHP"
Php Developer Jobs - Chennai location,VSJ Infotech pvt ltd,0 - 5 years,2-3.5 Lacs P.A.,Madurai,2 days ago,4,350,#NAME?,"PHP, Laravel, Core PHP, Wordpress, Yii, Codeigniter"
PHP DEVELOPER,Godigi Infotech,0 - 1 years,Not Disclosed,Pune,8 days ago,1,66,"We are looking for 1 years+ working experience as a PHP Developer, who has hands-on experience in Codeigniter/Laravel framework.
Required Experience, Skills, and Qualifications
- Hands-on Experience in web applications (PHP, Codeigniter, Laravel)
- Stored Procedure, Vue js advantages
- Knowledge with front-end technologies such as Javascript, Bootstrap, HTML5, CSS, jQuery
- Knowledge of working with GitHub.
- Should have experience of API integration.
- Experience working on Apache HTTP or any other server.
- Experience using MySQL, PostgreSQL.
- Solid experience in design, coding, unit testing and debugging.
- Experience working in agile development environment.
Required Skills
- Should have strong knowledge in PHP with Codeigniter/Laravel.
- Should have Knowledge of Full life cycle application development.
- Design, code, and debug software.
- Integrate new software solutions with existing systems.
- Extract and reverse engineer existing code.","jQuery, Front end, Coding, Postgresql, MySQL, PHP, Application development, HTTP, Unit testing, Apache"
PHP Developer,Wednesday Solutions,1 - 4 years,Not Disclosed,Pune,15 days ago,1,118,"As a data engineer, you will use modern data architecture approaches to help our customers meet key business objectives
In this role, you may review and architect data architecture or be part of a program from inception to design & build data pipelines
We are seeking an experienced and passionate PHP Developer with extensive knowledge of CodeIgniter, MySQL, and AWS services
The ideal candidate will be responsible for developing high-quality applications, managing backend services and the interchange of data between the server and the users
Key Responsibilities:

Develop High-Quality Applications: Develop and maintain high-performance, scalable, and custom-built PHP applications using CodeIgniter. Ensure the development of efficient, testable, and reusable PHP modules.

Database Management: Integrate and manage databases using MySQL. Optimize and maintain complex application SQL queries.

AWS Services Management: Deploy, maintain, and enhance applications on AWS services. Manage app resources and services on AWS efficiently.

Collaboration and Communication: Work collaboratively with cross-functional teams to define, design, and ship new features. Communicate regularly with project stakeholders and provide consistent updates on project development statuses.

Code & Deployment Management: Perform routine code reviews and work closely with peers to ensure the delivery of high-quality code. Manage version control using Git and perform regular deployments.

Testing & Troubleshooting: Conduct thorough testing of applications to ensure optimal performance. Identify and troubleshoot application code-related issues and bugs.

Documentation: Produce detailed specifications and documentation.
  Document codebase and maintain development and deployment instructions.
  Qualifications & Experience:
Bachelors degree in Computer Science, Information Technology, or a related field.
2 years of software development experience, specifically in PHP development.
Strong experience with PHP frameworks, specifically CodeIgniter.
Proficient with MySQL and experience with creating database schemas that represent and support business processes.
Experience with AWS services for app deployment is a must.
Knowledge of front-end technologies including HTML5, CSS3, and JavaScript is preferred.
Familiarity with version control using Git.
Skills:
Strong problem-solving skills and ability to break down complex problem statements.
Exceptional analytical and quantitative skills with a keen attention to detail.
Strong knowledge of data structures, system design, and algorithms. Effective interpersonal, communication, and collaboration skills","Backend, Front end, MySQL, Javascript, PHP, Data structures, System design, Information technology, CSS3"
PHP Developer,Unikwork Systems,1 - 6 years,Not Disclosed,Surat,15 days ago,1,32,"Must have good knowledge of OOPS Concepts
Collaborate with a team of developers and UX designers to create a PHP based web application
Design and develop server-side logic using Laravel/Codeigniter
Define and maintain database
Create reusable, effective, and scalable PHP code
Should have strong knowledge of Core PHP, MySQL, Jquery and JavaScript, Bootstrap
Demonstrable knowledge of web technologies including HTML, HTML5 CSS, Javascript, AJAX etc
Good knowledge of relational databases, developing web services and version control tools
Understanding of MVC design patterns, Strong knowledge of PHP web frameworks ( Laravel, CI)
Should be agile and quick problem solver
Should have excellent communication skill
Experience with handling Services, RESTful, APIs","jQuery, Version control, Web technologies, MySQL, Javascript, Agile, PHP, HTML, MVC, Ajax"
Opening For PHP Developer For Pune Location,firstcry com,2 - 5 years,4-9 Lacs P.A.,"Pune,Maharashtra",16 days ago,6,454,"Job specifications(PHP Developer):
1.      Required (Must Have) skills:Node.js,Codeigniter,Laravel,Core PHP,OOPS Concept,Mysql,Github,Cloud (AWS/Azure/GCP)
2.      Desired (Good to have) skills: Angular,NodeJS, JS/Jquery Ajax,,Basic HTML5 & CSS3,
3.      Qualification:  B.E(computer)
4.      Experience: 3- 4  years

Roles and responsibilities:
Write well-designed, high quality Code
 Produce detailed specifications
 Troubleshoot, test and maintain the core product software and databases to ensure strong optimization and functionality
 Contribute in all phases of the SDLC
 Follow industry best practices
 Develop and deploy new features to facilitate related procedures and tools
 Proven software development experience in Node and PHP
 Demonstrable knowledge of web technologies including HTML, CSS, Javascript, AJAX
 Good knowledge of RDBMS, version control tools and of developing web services. Good analytical skills desidered.
 Experience in common third-party APIs (Google, Facebook, Ebay etc)","Core PHP, MySQL, PHP, MongoDB, Laravel, Codeigniter"
Php Developer,IN2 Computing India,1 - 6 years,3-4 Lacs P.A.,"Tirunelveli,Tamil Nadu",16 days ago,3,39,"Role & responsibilities:
Outline the day-to-day responsibilities for this role.

Preferred candidate profile:
Specify required role expertise, previous job experience, or relevant certifications.

Perks and benefits:
Mention available facilities and benefits the company is offering with this job.","Php Development, c#, PHP"
PHP DEVELOPER,Webriderz,1 - 4 years,Not Disclosed,Ludhiana,17 days ago,1,Less than 10,"Strong fundamentals in CorePHP is a must.
Strong fundamentals in OOPS, MySQL, Jquery, Ajax.
Strong knowledge of CMSs Like Shopify, Wordpress.
Strong knowledge of PHP web frameworks like Laravel, Cake PHP, Yii, Codeigniter.
Basic understanding of front-end technologies, such as JavaScript, HTML5, and CSS3
Proficient understanding of code versioning tools, such as Git.
Write - clean-, well-designed code
Experience in common third-party APIs (Google, Facebook etc)
Be part of diverse, high-energy teams focused on complete project life-cycle.
Good communication (written and spoken English) skills are desired.
Coordination skills to work in a team
Willing to learn new skills and never give up attitude
Problem solving logical skills,","jQuery, Front end, GIT, Coding, MySQL, Wordpress, Javascript, Project life cycle, Ajax, CSS3"
PHP Developer,Aliqan Technologies,2 - 5 years,Not Disclosed,Hyderabad/Secunderabad,17 days ago,1,49,"Develop and maintain robust and scalable PHP applications using PHP, MySql, and JQuery (or any JavaScript Framework).
Collaborate with front-end developers and web designers to enhance usability and user experience.
Conduct debugging, troubleshooting, and performance optimization of web applications.
Implement RESTful services and microservices to ensure seamless communication and integration.
Utilize AWS technologies including EC2, ECS, S3, Glacier, Route 53, VPC, CloudFront, and Lambda.
Package and bundle applications using Webpack or Grunt.
Create, maintain, test, and debug the back end of applications or systems.
Apply version control using GIT/SVN and implement CI/CD tools like Jenkins.
Mentor junior developers, provide training, and assist in troubleshooting.
Manage and optimize scalable distributed systems in the cloud.
Candidate Qualifications:
Minimum 7 years of hands-on experience in PHP development.
Proficiency in HTML, CSS, JavaScript, and RESTful services.
Strong understanding of Unix/Linux and MVC architecture.
Experience in entire product development lifecycle - design, development, deployment, and maintenance.
Excellent communication and leadership skills.
Required Skills:
PHP
Aws
Unit Testing
Python
JavaScript","Unix, jQuery, Linux, MySQL, Debugging, Javascript, PHP, HTML, Troubleshooting, Python"
Php Developer,Empulse Research And Data Analytics,2 - 6 years,2.75-7.75 Lacs P.A.,"Mysore/ Mysuru,Karnataka",17 days ago,10,45,"L4 PHP Developer (0 - 2 Years)
Job Description
Strong Knowledge in Linux, Apache, MySQL, PHP development stack utilizing any PHP(Laravel/CodeIgnitor) framework.
Understanding of Object Oriented Programming and design patterns.
If any Javascript framework (AngularJS) Added advantages.
Understanding of MySQL/RDBMS and familiarity with concepts like ACID properties etc
Understanding of how code reviews work, and how clean code should look like
Outstanding communication skills

Interested candiadtes can share your profile for shwetha.ks@empulseone.com

OR

Call at 7899574904","PHP, Php Development, Laravel, Codeigniter, Core PHP"
