Job Title,Company Name,Experience Range,Salary,Location,Posted Date,Openings,Applicants,Job Description,Keywords
Salesforce CPQ Architect,Eclat Infotech,8 - 13 years,Not Disclosed,"Indore,Madhya Pradesh",7 days ago,1,110,"Role & responsibilities
Develop and maintain Salesforce integrations with other systems, including APIs, web services, and ETL tools
Create and maintain reports, dashboards, and other data visualizations
Must have experience on working with large data set
Good understanding of CPQ data architecture and mapping of Sales cloud data with CPQ data model
Worked on salesforce CPQ Implementation.
Assist with reporting related to CPQ data
Designing products, pricing, and product rules to arrive at desired configuration while optimizing scalability and end-user experience.
Must have experience in using data loader, bulk API other data tools to update salesforce data.
Must have worked on data migration project in salesforce and data transformation.
Very good understanding of salesforce data model and import and export mechanism of salesforce data
Experience in Database Architecture, Data Modeling, and ETL tools
Understanding of Data Security and compliance regulations
Good to have experience identifying data requirements and designing solutions with business stakeholders.
Design and develop Salesforce solutions to meet business requirements, including custom objects, fields, formulas, validation rules, workflows and triggers
Able to work with cross-functional teams to ensure alignment with business requirements.
Develop and maintain Salesforce data migration processes, including data import, export, and transformation
Strong knowledge of enterprise issues related to IT architecture
Should have progressing skills on Business Analysis, Business Knowledge,
Software Engineering Leadership, Architecture Knowledge and Technical Solution Design
Ability to take ownership of projects and multi-task in a fast pace environment
Able to communicate well with both business Subject Matter Experts and technical design and developers.","Salesforce CPQ Architect, Cpq, Triggers, DATA MODELLING, IT ARCHITECTURE, ETL Tool, Solution Design, CPQ DATA ARCHITECTURE, DATABASE ARCHITECTURE, Business Analysis, Sales Force Development, Salesforce Cpq, Business Knowledge, Technical Design, CPQ DATA, API, Salesforce"
Salesforce Technical Consultant,Salesforce,5 - 10 years,Not Disclosed,Mumbai,1 day ago,1,43,"Salesforce industries goal is to deliver rapid, value-driven customer solutions for complex business problems. Our Salesforce Developers are key players in this objective, as they can leverage native Industry Cloud functionality to deliver customer requirements quickly with minimal customisation.
You'll be responsible for turning the program design of our Solution Architects and Technical Architects into a configured solution that meets the customer's needs.
Working predominantly in Agile scrum teams, you ll be building out complex business processes using Industry Cloud technology and the toolkit of the platform.
You'll be involved in all phases of the project lifecycle - from low-level design and development through to deployment and post-production support.
You'll acquire a deep product knowledge of the Salesforce Industries vertical applications, and will be able to mentor customer (and system integrator) resources and accelerate knowledge transfer to them.
You'll also act as a champion in the wider Salesforce Industries partner ecosystem, sharing best practices, lessons learned, and time-saving techniques.
Minimum Requirements:
5+ years experience working on deployment teams, ideally using Agile development techniques.
Proven track record of successful delivery of customer projects, preferably enterprise CRM implementations.
Experience in building solutions in the financial services industry.
A self-starter, adept at picking up new skills and technologies, and eager to break new ground.
Excellent communication skills, equally comfortable with crafting emails as leading a white-board discussion with customers or delivering a technical presentation.
Vision to help us take our company to the next level.
Degree or equivalent relevant experience required. Experience will be evaluated based on the core competencies for the role (eg extracurricular leadership roles, military experience, volunteer roles, work experience, etc)
Technical Requirements:
Salesforce (Apex, VisualForce, Lightning)
Java, SOAP APIs, REST (JSON, XML)
Data modeling
Process modeling tools and best practices
Preferred Requirements :
Knowledge of OmniStudio (Integration Procedures, Data Raptors, Omniscripts)
Excellent interpersonal and communications skills.
Salesforce Platform Developer / Platform App Builder certification
Bachelors or Masters degree in Computer Science, Software Engineering or a related field","Post production, Production support, Data modeling, XML, Agile development, Service marketing, Financial services, Salesforce, CRM"
Engagement Delivery Manager,Salesforce,6 - 11 years,Not Disclosed,Hyderabad/Secunderabad,12 days ago,1,623,"As a Project Manager, your work will cut across areas of judicious planning, operational excellence, governance and capability improvement. As the Project Manager, you will help in implementing Global business vision and strategy, while This position requires big-picture thinking, initiative, zeal, attention to detail, the ability to learn quickly, the capacity to handle internal and external relationships, the competence to work with senior executives, and excellent soft skills.
Willing to work in a multi-stakeholder 24/7 work environment
Key Responsibilities
Drive programs of strategic importance from the Program Management Office (PMO)
Ability to plan, estimate, budget, ; handle, and control costs so that the project can be completed within the approved budget
Handle project revenue by meticulously tracking as sold margin and as delivered margin for the project
Conceptualise, analyse and evaluate the needs of different programs; make recommendations with business justification, and finally upon approval, forefront the programs
Understanding of Agile-certified Scrum processes, and current methods of coordinating Business IT
Understanding of Scrum Master concepts and exhibits demonstrably the traits of a successful Scrum Master
Possesses certification in either Agile Scrum Master (ASM) or Certified Scrum Master (CSM) from an accredited Agile/Scrum organization
Ability to build project timelines to plan and lead all aspects of and report progress within the project environment
Ability to identify all people or organizations impacted by the project, analyse customer expectations and impact on the project, and develop appropriate management strategies for actively engrossing collaborators in project decisions and execution
Oversee DevOps implementation, deployment, and integration of solutions, and responsibility for the successful delivery of projects
Requirements
3+years of managing Mulesoft Projects, 6+ years of relevant Program/ Project Management experience, and 12+ years of overall IT experience
Ability to collaborate with a customers executives and demonstrate strategic understanding of business needs
Hands-on experience with one or more CRM software products (Salesforce CRM, Siebel, Clarify, Vantive, PeopleSoft, NetSuite) would be a strong asset
Hands-on experience with PM tools like JIRA / MS Project
Any project management-related certification ( PMI -ACP / PMP / Prince 2 / PSM II, etc) is an asset
Advanced Microsoft Excel skills (formulas, data cleansing, data manipulation)
Must be ready to travel on a need basis
Nice to have Salesforce Certification
Must have in-depth Salesforce Knowlege","data cleansing, PMP, Excel, Operational excellence, Project management, PeopleSoft, Flex, JIRA, Salesforce, Prince2"
Technical Architect- B2B Commerce Cloud,Salesforce,8 - 14 years,Not Disclosed,Mumbai,30+ days ago,1,89,"We are seeking a skilled and experienced Salesforce B2B Commerce Technical Architect to join our dynamic team
As a Salesforce B2B Commerce Technical Architect, you will be responsible for designing and implementing end-to-end solutions for B2B Commerce projects leveraging the Salesforce platform and extended ecosystem
Your expertise in Salesforce B2B Commerce Cloud, combined with your strong technical acumen, will be instrumental in delivering scalable and efficient solutions to meet our clients business needs
Responsibilities :
1. Solution Architecture: Collaborate with clients and project stakeholders to understand and analyze business processes, design comprehensive solutions using Salesforce B2B Commerce Cloud, while ensuring scalability, security, and simplicity. Develop and present technical architecture documents and solution proposals.
2. Technical Leadership: Provide technical leadership and guidance to development teams throughout the project lifecycle. Review and assess low level design, configuration, security, code quality, ensuring best practices and industry standards are followed.
3. Integration: Design and implement integrations between Salesforce B2B Commerce Cloud and other enterprise systems (e.g., ERP, CRM, PIM, Payment) to facilitate seamless data flow and process automation.
4. Customization: Customize and extend the functionality of Salesforce B2B Commerce Cloud using Apex, Lightning Web Components, Flows and other appropriate technologies.
5. Performance Optimization: Identify and address performance bottlenecks, optimize page load times, and improve overall system efficiency.
6. Security and Compliance: Ensure the security and compliance of the Salesforce B2B Commerce implementation by implementing proper data access controls, encryption, and adhering to industry best practices.
7. Continuous Improvement: Stay up-to-date with the latest Salesforce B2B Commerce features, releases, and industry trends. Recommend and implement process improvements to enhance overall project delivery and client satisfaction.
8. Documentation: Create and maintain technical documentation, including architecture diagrams, data models, integration specifications, and deployment plans.
9. Collaboration: Collaborate with cross-functional teams, including Business Analysts, Developers, Quality Assurance, and Project Managers, to ensure successful project delivery.
10. Client Engagement: Engage directly with clients to understand their needs, provide technical guidance, and address any concerns or questions related to the Salesforce B2B Commerce solution.
Requirements / Skillset :
1. Bachelors degree in Computer Science, Software Engineering, or related field (or equivalent work experience).
2. Proven experience as a Technical Architect in Salesforce B2B Commerce Cloud projects, with a deep understanding of B2B commerce concepts, capabilities, best practices, and limitations.
3. Salesforce Certifications: Salesforce B2B Commerce Admin / Developer Accredited Professional, and relevant architect domain certifications (Data, Integration, Security)
4. Technical Proficiency: Strong expertise in Salesforce development, including Apex, Lightning Web Components, Flows, and APIs. Familiarity with JavaScript, CSS, and HTML.
5. Integration Experience: Hands-on experience integrating Salesforce B2B Commerce Cloud with other enterprise systems (e.g., ERP, CRM, Payment) using APIs and middleware.
6. Problem-Solving Skills: Excellent analytical and problem-solving abilities, with a track record of successfully delivering complex technical solutions.
7. Communication Skills: Effective verbal and written communication skills, with the ability to articulate technical concepts to both technical and non-technical stakeholders.
8. Leadership and Collaboration: Proven leadership skills to guide development teams and collaborate effectively in a team-oriented environment.
9. Adaptability: Ability to work in a fast-paced and dynamic environment, adjusting to changing project requirements and priorities.
10. Business Acumen: Understanding of B2B personas, business processes, process flows, cart to order flow, checkout flow, and customer experience to design effective solutions aligned with business objectives.","Solution architecture, ERP, Manager Quality Assurance, Javascript, HTML, Middleware, CRM, Salesforce, Technical documentation"
Salesforce Developer,Promien Services,0 - 2 years,Not Disclosed,Noida,30+ days ago,1,7531,"Responsibilities
Design, develop, test, document, and deploy business solutions on the Force.com platform.
Develop Triggers, Classes, Batch Processes, Controllers, Visual force Pages, etc. to address and improve new and existing business needs.
Perform Code walk throughs and code reviews
Configure Salesforce.com application using Sales Cloud, Marketing Cloud, Service Cloud, etc.
Experience Required : 0-2 years in Salesforce Development.
Bachelor's degree in engineering is mandatory B.Tech (CS,IT,EC)/MCA, Minimum 70% Marks is Mandatory in Schooling & Graduation/PG.
Desired Candidate Profile
Keen to work on one of the largest implementation of the community cloud
Salesforce Training would be a great plus
Should have excellent communication skills
Should be okay to stay with us for long term
Career Flyer Program
Enhancement trainings in SF.
. Live Personality development workshops.
Exposure on live projects.
Onsite opportunity.
Client coordination exposure.
A technical coach assigned for the entire first year with meeting with the coach once a month.
A career mentor assigned during the entire two year period who works with you once in a quarter.
Any number SF global certifications from company side.
Online courses / training subscription .","IT services, Training, ERP, Client coordination, Cloud, Salesforce.com, Personality development, Business solutions, Digital marketing, Salesforce"
Salesforce Developer,Vrit Techno Soft,3 - 7 years,Not Disclosed,"Hyderabad/ Secunderabad,Telangana",10 days ago,1,857,Any Salesforce Developer with 3 to 7 yrs,Salesforce
Salesforce Support Engineer - Secureworks,Dell Technologies,4 - 8 years,Not Disclosed,Hyderabad/Secunderabad,29 days ago,1,271,"Job Overview
Salesforce Support Engineer provides technical product support and have a passion to perform root cause analysis. In this role, you will communicate closely with technical and non-technical members of the business to resolve issues on time using analytical and programming skills to provide remediation plans forward.
Role & Responsibilities:
Assisting customers in troubleshooting their custom code, integration, and implementation of Salesforce products.
Coordinate with different teams on the integration points and bring resolution to the problems
Serve as an escalation point for internal support and product teams
Understand the business complexity and provide resolution/workaround to the user's problems
Create knowledge base materials dedicated towards operational efficiency
Support ongoing Salesforce administration (create accounts/profiles, Flows, approvals, reports, dashboards, etc.).
Provide minor changes in the code/configuration and able to deploy them into production
Develop and maintain technical expertise in assigned areas of product functionality and utilize that expertise effectively to help customers
Demonstrate in-depth knowledge of Salesforce Sales, Services and Salesforce Community applications
Ability to work with teams across multiple time zones (Working from 2 PM to 11 PM IST)
Essential Requirements:
4-8 years of experience working on Salesforce platform
Experience with Lightning Web Components
Experience using Salesforce data tools (Data Loader, Workbench, Visual Studio Code, etc.)
Debugging/Troubleshooting Errors
Ability to write SOQL queries
Ability to create Flows and other automation in salesforce
Good understanding of bitbucket and gitlab
Desired Requirements:
Salesforce.com Certified Administrator (ADM201 Certified)
Experience with agile development methodologies like Scrum is a plus
Good written and verbal communication skills
Experience with MS SQL
Copado Release Management","Salesforce platform, Data Loader, agile development methodologies, Workbench, bitbucket, Troubleshooting Errors, Copado Release Management, Visual Studio Code, MS SQL, Lightning Web Components, SOQL queries, Salesforce Sales, gitlab, Scrum, Salesforce data tools"
Salesforce Lead,Essenware,7 - 9 years,Not Disclosed,New Delhi,30+ days ago,1,18,"  Overall 7+Yrs experience
5+Yrs SFDC experience
Strong hands-on experience in SFDC implementation projects with Experience Cloud (Commerce Cloud/ Community Cloud)
Strong in LWC skills
Experience in Integrations between SFDC and any other systems. Strong in Integrations, web services, SOAP, XML and workflow.
Strong Communication and Customer facing
Independent contributor as well strong team player
At least 2 full lifecycle Salesforce.com implementations
SCRUM Agile development environment experience is preferred
Has to be strong in SFDC Deployments, Deployment tools, Code Deployments
Strong Communication and Customer facing","Web services, SFDC, XML, Agile development, Cloud, Salesforce.com, Deployment, Workflow, Scrum, SOAP"
Salesforce Aura Lead For Tech M,Essenware,4 - 6 years,Not Disclosed,Hyderabad/Secunderabad,30+ days ago,1,40,"  4+ years of experience in SFDC.
Proficiency in Lightning Component Development(Aura) and Lightning Web Components who can be a beginner.
Proficiency in configuration and customization in Salesforce.com, Apex and Visual force technologies. Must have good understanding of Overall SFDC Architecture & landscape.
Must have good knowledge & work experience in SFDC configuration, customization, programming with APEX Class / Triggers / APIs, Visual Force and implementing new instances of Salesforce.com application from scratch.
Hands on work experience with Salesforce.com web services, WSDL and other Integration aspects are desirable.
Understanding & work experience in integrating salesforce.com application with external applications.
Should have good work experience in Reports and Dashboards.
Good understanding of web technologies HTML, CSS etc","CSS, Web technologies, Web services, SFDC, Architecture, Salesforce.com, Programming, HTML, Apex, Visualforce"
Salesforce Business Analyst,Ajel Infotech,1 - 4 years,Not Disclosed,Hyderabad/Secunderabad,30+ days ago,1,845,"Handle intake of business requests (excluding Salesforce Admin responsibilities like access, reports, etc.)
Outreach to requestors to groom tickets with stories and acceptance criteria
Assist in prioritization
Assist with providing test scenarios
Rollout communications
Doesn t need to have deep Salesforce expertise but having exposure and some competency is helpful in the role. Doesn t need to be hands on technically, but able to navigate the system and help with testing in certain scenarios or replicating steps from users would be more of the target.
 Ability to engage independently with business users (mostly will be individual contributors or people management rather than higher level management).
 ","Administration, Business Analyst, Test scenarios, Management, Salesforce, Testing"
