Job Title,Company Name,Experience Range,Salary,Location,Posted Date,Openings,Applicants,Job Description,Keywords
Oracle Database Administrator,Crest It,3 - 5 years,Not Disclosed,Mumbai,30+ days ago,1,79,"Good knowledge and work experience in the following areas:
Experience on following is not mandatory but having knowledge is added advantage
Should have 3-5 years of experience in administering Oracle Databases
Assess database performance
Implement security measures for computer or information systems
Develop computer or information security policies or procedures
Update computer database information
Create databases to store electronic data
Create Table space in oracle database
Backup / Restore Oracle Databases.
Set database parameters or specifications
Write computer programming code
Develop guidelines for system implementation
Develop performance metrics or standards related to information technology
Coordinate project activities with other personnel or departments
Read documents to gather technical information
Estimate time or monetary resources needed to complete projects
Train others in computer interface or software use
Coordinate software or hardware installation
Develop detailed project plans
Analyze data to identify trends or relationships among variables
Analyze market or customer related data
Develop models of information or communications systems
Knowledge or working experience on AWS RDS
Extracting and Analyze AWR report
B. Tech/B. E/ MCA/ BCA/ Bsc.IT
Good probing / trouble-shooting skill;
Hunger for learning
Excellent written and verbal communication skills.
Certification In Oracle DBA will be added Advantage
3 to 5 years of professional experience administering Oracle Databases
Knowledge or working experience on AWS RDS
Extracting and Analyze AWR report
Knowledge or experience with Oracle GoldenGate.
Experience using Oracle Data Guard / Fast Start Failover
Knowledge or experience with Oracle Multitenant (CDB/PDB)","Oracle database, Hardware installation, Information security, Database, Oracle DBA, Oracle, Troubleshooting, Information technology, AWS, System implementation"
Oracle DBA (D),Netpace Inc,6 - 8 years,Not Disclosed,Mumbai,30+ days ago,1,282,"Available to work in 24X7 capability.
Strong Performance tuning skills - Query level tuning / DB tuning / Memory level tuning
Expert knowledge of Oracle Database, Goldengate, Exadata, Oracle RAC, Oracle ASM, Data guard, Backup Recovery etc.
Strong DBA skills and relevant working experience with Oracle Database 11g and 12c.
Experience implementing high availability features of Oracle Database.
Experience in Oracle Enterprise Manager (OEM) 11g/12c/13c is a plus.
Knowledge on DB Security viz. AVDF, DB Vault, Oracle Key Vault, e-Wallet, TDE would be added advantage.
Sharp technical troubleshooting skills.
Good understanding of support processes.
Ability to manage escalated technical situations develop action plans.
Ability to spot proactive services that benefit of customer.
Ability to facilitate issues with Development and Support.
Strong analytical skills.
BE/BTech and/or MS in Computer Science or equivalent preferred.
Oracle OCP DBA certification - Preferred.
Some travel may be required.","Computer science, Oracle database, Analytical skills, Performance tuning, Database administration, Oracle DBA, Oracle RAC, Management, Oracle, Troubleshooting"
ORACLE DBA,Diverse Lynx,3 - 7 years,Not Disclosed,Bangalore/Bengaluru,30+ days ago,1,296,"Proactive career management and promotion opportunities
Comprehensive training and personal development plan for each individual to help enrich talent

Develop and establish department standards and procedures
Coordinate technical support and direction to programming, operations and other departments

Assume overall responsibilities for project status, meetings, reporting, scope changes, financials, administrative and technical issues
Serve as the primary liaison for Technical Business teams
Provide 24/7 support of production database services to ensure the highest standards of availability resilience, integrity, security and performance
Manage and maintain backups and recovery procedures
Install and maintain database server, replication and client environments
Develops and implements plans to oversee the database administration function and ensures smooth transition to new technology
"",","Administration, Finance, Database administration, Programming, Transition, Manager Technology, Oracle DBA, Database maintenance, Management, Technical support"
Oracle Database Administrator,Inumellas Consultancy Services,10 - 18 years,25-35 Lacs P.A.,"Hyderabad/ Secunderabad,Telangana",30 days ago,2,273,"Exp - 9-18 yrs
Position - Permanent
Location - Hyderabad
Mode - Work from Office - 5 days

Must have Skills - Oracle 12C, 19C, RMAN, Dataguard, Database Migration exp and Working on Production databases","Oracle Database Architecture, Oracle Cloud Infrastructure, OEM, Oracle DBA, Oracle RAC, RAC, Oracle Data Guard, Golden Gate, RMAN"
Oracle DBA L3 required 24*7 Shift) Mumbai (Vikhroli) & Noida,Agility Human Resource Management Services Private Limited,6 - 8 years,Not Disclosed,"Mumbai,Maharashtra( Vikhroli )",23 days ago,1,177,"Having exp of 7+ years as senior oracle DBA
Exp on Exadata, Autonomous Databases (ATP,ADW), RAC & Dataguard)
Installation & upgrade of Oracle & RAC on 10g/11g/12c/18c/19c version under Linux/AIX platforms
Must have oracle ASM/ACFS implementation exp

Required Candidate profile
Exp in Oracle RAC cluster & CRSCTL
Strong exp on backup utilities or tools like RMAN & EXPDP/IMPDP, CRSCTL, SRVCTL NetBackup
Applying grid & DB PSU patch in standalone & multi-node RAC cluster servers","RAC cluster servers, RMAN, IMPDP, Dataguard, ACFS implementation, Netbackup X, Autonomous Databases, RAC, AIX platforms, Oracle DBA, CRSCTL"
Oracle Developers / DBA,Wayne- Burt,2 - 5 years,Not Disclosed,Chennai,30+ days ago,1,690,Oracle Developers / DBA (Ref: ODDBA201): Should be an Oracle certified developer or DBA worked in Oracle Applications development with minimum 2 + yrs.,"Technical product configuration, c++, development, C, oracle, design, MySQL, JavaScript, integration PHP, HTML, developer, applications"
Oracle core DBA(M),Netpace Inc,4 - 7 years,Not Disclosed,Mumbai,30+ days ago,1,128,"Available to work in 24X7 capability.
Strong Performance tuning skills - Query level tuning / DB tuning / Memory level tuning
Expert knowledge of Oracle Database, Goldengate, Exadata, Oracle RAC, Oracle ASM, Data guard, Backup Recovery etc.
Strong DBA skills and relevant working experience with Oracle Database 11g and 12c.
Experience implementing high availability features of Oracle Database.
Experience in Oracle Enterprise Manager (OEM) 11g/12c/13c is a plus.
Knowledge on DB Security viz. AVDF, DB Vault, Oracle Key Vault, e-Wallet, TDE would be added advantage.
Sharp technical troubleshooting skills.
Good understanding of support processes.
Ability to manage escalated technical situations develop action plans.
Ability to spot proactive services that benefit of customer.
Ability to facilitate issues with Development and Support.
Strong analytical skills.
BE/BTech and/or MS in Computer Science or equivalent preferred.
Oracle OCP DBA certification - Preferred.
Some travel may be required.","Computer science, Oracle database, Analytical skills, Performance tuning, OEM, Database administration, Oracle RAC, Management, Oracle, Troubleshooting"
Oracle core DBA,Netpace Inc,6 - 12 years,Not Disclosed,Mumbai,30+ days ago,1,376,"Available to work in 24X7 capability.
Strong Performance tuning skills - Query level tuning / DB tuning / Memory level tuning
Expert knowledge of Oracle Database, Goldengate, Exadata, Oracle RAC, Oracle ASM, Data guard, Backup Recovery etc.
Strong DBA skills and relevant working experience with Oracle Database 11g and 12c.
Experience implementing high availability features of Oracle Database.
Experience in Oracle Enterprise Manager (OEM) 11g/12c/13c is a plus.
Knowledge on DB Security viz. AVDF, DB Vault, Oracle Key Vault, e-Wallet, TDE would be added advantage.
Sharp technical troubleshooting skills.
Good understanding of support processes.
Ability to manage escalated technical situations develop action plans.
Ability to spot proactive services that benefit of customer.
Ability to facilitate issues with Development and Support.
Strong analytical skills.
6-12 years of experience with Oracle Database as an DBA/Apps DBA/Consultant/Support Engineer.
BE/BTech and/or MS in Computer Science or equivalent preferred.
Oracle OCP DBA certification - Preferred
Some travel may be required.","Computer science, Analytical skills, Oracle database, Performance tuning, OEM, query, Oracle RAC, Management, Troubleshooting, Apps DBA"
Oracle Database Administrator,Six Sigma Soft Solutions,4 - 6 years,2.75-4 Lacs P.A.,Bangalore/Bengaluru,28 days ago,3,129,"Experience: 3.5-6 years
Job Location: Bangalore
Salary: 4 lpa - 7 lpa
kindly share your CV to priyanka@6sos.com",Oracle DBA
Database Administrator - Oracle,Relyon,2 - 7 years,Not Disclosed,Bengaluru,30+ days ago,1,1148,"Job Description : Assisting Senior Developer with DBA relatedwork for projects
Functional Area : Development
Role : Assisting Senior Developer with DBA related work for projects
Key Skills : Good understanding of Oracle DB, related utilities and tools
Educational Qualification : BE/MCA/B.Tech
Attributes Required : Exploratory Mind set
Additional Requirement: DBA Certification in Oracle","Training, PDF, Accounting, Database administration, Oracle payroll, Taxation, Oracle, Database Administrator"
