Job Title,Company Name,Experience Range,Salary,Location,Posted Date,Openings,Applicants,Job Description,Keywords
"Video Editors (After Effects, Premiere Pro, Canva, Filmora)",Iced Infotech,0 - 3 years,Not Disclosed,Surat,30+ days ago,1,94,"Video Editing: Use video editing software (such as Adobe Premiere Pro, Final Cut Pro, or similar tools) to arrange and edit raw footage into cohesive and visually appealing videos
Storytelling: Collaborate with content creators, directors, and producers to understand the narrative and objectives of the project, ensuring that the final video effectively communicates the intended message
Video Enhancement: Apply color correction, visual effects, motion graphics, and other enhancements to enhance the overall quality and impact of the video
Audio Editing: Edit and synchronize audio tracks, including dialogue, music, and sound effects, to create a seamless and immersive viewing experience
Creative Input: Contribute creative ideas and suggestions to improve the visual and narrative elements of the video, bringing a fresh perspective to the project","Graphics, Visual Effects, Adobe Premiere Pro, Video editing, Audio editing"
Video Editor | Motion Graphics,Kush Kochar,0 - 5 years,1.75-3.75 Lacs P.A.,Noida,13 days ago,1,1314,"Develop Short-format videos: Premiere Pro, After Effects
Familiarity with illustrator & Photoshop
Passion for learning & growth.
Working with art and creative teams

Required Candidate profile
Staying up to date on the latest graphic video editing techniques
Immediate joiner. Expertise in Premiere","Video Editing, Premiere Pro, Visual Effects, Motion Graphics, Adobe Premiere Pro, Illustrator, video editor, Corel Draw, VFX, after effects, Adobe After Effects, Photoshop"
Video Editor,Vodaplay India,0 - 4 years,4-6 Lacs P.A.,"Mumbai,Maharashtra",8 days ago,8,720,"We,a media company looking for a talented Video Editor to assemble recorded footage into a finished project that matches the directorÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂs vision and is suitable for broadcasting. as a Film and Video Editor, Ad films, and music albums. movies and Film.","Video Editing, Audio Editing, Adobe Premiere Pro, Final Cut Pro, Visual Effects, Sound Editing, Multimedia, Motion, Adobe Premiere, Special Effects, Editing, VFX, Color Correction, Aftereffects, Motion Graphics, Video Analytics, Animation, Adobe After Effects, Flash"
Video Editor,Itvedant Education Pvt Ltd,0 - 2 years,1.25-2.75 Lacs P.A.,"Thane,Maharashtra",11 days ago,1,58,"1. Must have experience in the tool - Adobe Premier Pro

2. Shooting the videos and editing the video as per organization needs.

3. Creative Ideas in related to Video - editing and Marketing.","Video Editing, Sound Editing, Motion, Audio Editing, Adobe Premiere Pro, Special Effects, Final Cut Pro, Visual Effects, Aftereffects, Motion Graphics, Videography, Animation, Adobe After Effects"
Video Editor Intern,Awrange,No fixed duration,Unpaid,Pune,30+ days ago,1,21,"We are seeking a talented and creative Video Editor to join our team. As a Video Editor, you will play a crucial role in shaping the visual storytelling of our brand and projects.

Roles And Responsibilities

Assist in editing video footage to create engaging and visually appealing content for various platforms, including social media, websites, and marketing materials.
Organize and maintain video assets, ensuring easy access and retrieval for editing projects.
Apply transitions, animations, and visual effects to enhance the overall impact of the video.
Enhance video quality through color correction and grading techniques to achieve the desired visual style.
Qualification:

Bachelor s (Any Degree)
Currently pursuing or recently completed a degree in Film, Media Production, or a related field.","Visual Effects, PDF, Web technologies, Social media, Shaping, Video Editor, Wellness, FMCG, Digital marketing, FMCG marketing"
Designer and Video Editor (3D),Wellcare Oil Tools,3 - 5 years,Not Disclosed,Kota,12 days ago,1,Less than 10,"3D Design:3D Modeling: Create 3D models of objects, characters, environments, or architectural elements using software like Blender, Maya, or 3ds Max
Texturing: Apply textures and materials to 3D models to achieve realistic or stylized visual effects
Animation: Animate 3D models, characters, and objects to create dynamic and engaging sequences
Rigging: Set up character rigs to control the movement and behavior of 3D characters in animations
Lighting and Rendering: Set up lighting and render scenes to produce high-quality 3D visuals
Video Editing:Video Editing: Edit video footage, including cutting, trimming, and arranging clips to create a cohesive narrative
Visual Effects: Add visual effects, motion graphics, and compositing to enhance video content
Color Correction: Adjust color grading and correction to achieve the desired mood and tone
Audio Editing: Edit and synchronize audio elements, including music, sound effects, and voiceovers","Graphics, Visual Effects, 3D, Architecture, Video Editor, Texturing, Maya, Animation, Video editing, Audio editing"
Video Editor,Pixelate Brandlabs,0 - 2 years,1.75-3 Lacs P.A.,Chennai( Anna Salai ),13 days ago,1,110,"Video Editing
Color Correction and Grading
Audio Editing
Transitions and Effects
Storytelling
File Management
Stay up-to-date with Industry Trends

Required Candidate profile
0-1 years of experience in video editing
Proficiency in video editing software
Strong attention to detail and a creative eye
Excellent communication and teamwork skills","Video Editing, Aftereffects, Motion Graphics, Videography, Premiere Pro, Audio Editing, Design Thinking, Design Research, Visual Effects, 3D, Collaboration, Advertising, Adobe Suite"
Graphic Designer and Video Editor,Aster Health Academy,3 months duration,Unpaid,"Bangalore/ Bengaluru,Karnataka",5 days ago,10,15,"Job Description:
We are seeking a dynamic Graphic Designer and Video Editor Intern to join our marketing team for a 3-month internship program. As a part of the creative team within our marketing department, you will be responsible for creating visually compelling and persuasive marketing collateral to promote our healthcare management programs to engage with our target audience. This internship provides a unique opportunity for you to gain practical experience, enhance your portfolio, and learn directly from professionals in healthcare marketing.

Key Responsibilities:
Develop eye-catching graphic designs for digital and print marketing materials, including brochures, social media posts, and email campaigns
Collaborate with the marketing team to design promotional materials that align with our brand identity
Create and edit visuals, infographics, and illustrations to support marketing campaigns
Edit and produce marketing videos, including promotional content, testimonials, and educational clips, ensuring a high level of production quality
Incorporate animations, effects, and graphics into videos to enhance engagement and convey our marketing messages effectively
Collaborate with the marketing team to develop video content for various digital platforms and advertising campaigns
Collaborate with cross-functional teams to understand project goals and deliver creative solutions

Qualifications:
Currently enrolled in or recently graduated from a degree program in Graphic Design, Video editing or a related field
Proficiency in graphic design software (e.g., Adobe Photoshop, Illustrator) and video editing software (e.g., Adobe Premiere Pro, Adobe After Effects)
Strong creative skills and a sharp eye for design, layout, and visual aesthetics
Knowledge of typography, colour theory, and composition
Willingness to learn and adapt to new design trends
A portfolio showcasing prior graphic design and video editing work (if available)

Benefits:
Hands-on experience in graphic design and video editing within the healthcare marketing
Mentorship and guidance from experienced professionals in marketing
Opportunities to work on live projects and build a portfolio reflecting your skills
Networking with professionals at Aster Health Academy Bangalore
A letter of recommendation at the conclusion of the internship","Photoshop, Graphic Designing, Graphic Designer, Adobe Creative Suite"
Motion Graphics Designer,Fincity,1 - 4 years,Not Disclosed,Bangalore/Bengaluru,7 days ago,1,57,"Collaborate with the creative team to conceptualize and develop compelling video content for social media platforms, including but not limited to Instagram, Facebook, YouTube, and TikTok.
Utilize your expertise in video editing software (e.g., Adobe Premiere Pro, Final Cut Pro) to edit and enhance raw footage, ensuring seamless transitions, visual effects, and audio synchronization.
Create captivating motion graphics, animations, and visual effects to enhance the overall video content.
Stay up-to-date with the latest trends and techniques in motion graphics and video editing, and apply them to create innovative and visually appealing content.
Work closely with the marketing team to understand project requirements, target audience, and brand guidelines, ensuring that the video content aligns with the company s vision and objectives.
Collaborate with other designers, videographers, and content creators to ensure a cohesive and consistent visual style across all social media platforms.
Manage multiple projects simultaneously, ensuring timely delivery of high-quality video content within given deadlines.
Maintain an organized library of video assets, templates, and project files for easy access and future use.
Requirements:
1 4 years of experience in Motion Graphics designing.
Bachelor s degree in Graphic Design, Motion Graphics, or a related field is preferred.
Proven experience as a Motion Graphics Designer, with a strong portfolio showcasing your video editing and motion graphics skills.
Proficiency in video editing software, such as Adobe Premiere Pro, Final Cut Pro, After Affects or similar tools.
Excellent understanding of motion graphics principles, visual effects, and animation techniques.
Strong knowledge of social media platforms and their video requirements, including aspect ratios, file formats, and best practices.
Ability to work independently and collaboratively in a fast-paced environment, managing multiple projects simultaneously.
Strong attention to detail and ability to deliver high-quality work within given deadlines.
Excellent communication and interpersonal skills, with the ability to effectively present and articulate creative ideas.
Up-to-date with the latest trends and techniques in motion graphics, video editing, and social media marketing.","Graphics, Social media marketing, Visual Effects, Interpersonal skills, Graphic designing, Adobe Premiere Pro, Animation, Video editing, Management"
Video Editor Trainee,Hula Global Fashions,3 months duration,"5,000/month",Delhi / NCR,23 days ago,1,92,"Role & responsibilities
Motion graphics, text animations, subtitles, color grading & color correction to videos
Assemble raw footage and create short & long videos for YouTube, Facebook, Instagram, Reels, etc

Preferred candidate profile
Hands-on experience with editing software, including Adobe Premiere pro, Adobe After Effects, Filmora etc.","Video Editing, Adobe Premiere Pro, Adobe After Effects, Visual Effects, Animation, Final Cut Pro"
Video Editor,TalentCo Search Pvt Ltd,2 - 4 years,Not Disclosed,Jaipur,30+ days ago,1,27,"Edit raw video footage into captivating Reels, applying creative editing techniques to enhance visual appeal and storytelling.
Select and trim video clips, arrange them in a compelling sequence, and ensure smooth transitions between clips.
Add music, sound effects, text overlays, and visual effects to enhance the Reels impact and engagement.
Optimize Reels for social media platforms, considering aspect ratios, duration limits, and other platform-specific requirements.
Incorporate trending and relevant effects, filters, and transitions to keep the Reels visually appealing and up-to-date with current trends.
REQUIREMENTS-
Proven work experience as a Video Editor or in a similar role, with a focus on short-form video content for social media platforms.
Strong proficiency in video editing software (e.g., Adobe Premiere Pro, Final Cut Pro, or relevant software for editing Reels).
Excellent understanding of video editing techniques, visual storytelling, and composition.
Proficient in adding music, text, effects, and transitions to enhance the impact of Reels.","Visual Effects, Adobe Premiere Pro, Social media, Video Editor, Video editing"
Roto Artist,Glarus Technology,2 - 7 years,Not Disclosed,New Delhi,1 day ago,1,Less than 10,"A Roto Artist, short for Rotoscope Artist, is a professional involved in the visual effects (VFX) industry, specifically in the process of rotoscoping
Rotoscoping is a technique used to create realistic visual effects by manually tracing and isolating specific elements or objects in a video or film footage frame by frame
The primary role of a Roto Artist is to meticulously extract or separate the foreground elements from the background, often known as creating a matte or mask, to enable further manipulation or compositing in post-production
Here is a comprehensive job description for a Roto Artist
Rotoscoping: Utilize industry-standard software, such as Adobe After Effects, Nuke, or Silhouette, to accurately trace and extract specific elements or objects from video footage frame by frame
This involves creating detailed mattes or masks for individual frames to isolate the desired elements or remove unwanted elements
Tracking: Implement tracking techniques to match the movement and perspective of the rotoscoped elements with the camera movement of the original footage
This ensures seamless integration and realistic motion of the composited elements within the scene
Quality Control: Perform quality checks on the rotoscoping work to ensure accuracy, precision, and consistency throughout the project
This includes reviewing and refining the mattes or masks to achieve the desired visual effect while maintaining the integrity of the original footage
Communication and Collaboration: Collaborate closely with other VFX artists, such as compositors, matte painters, and CG artists, to ensure smooth integration of the rotoscoped elements into the final composite
Effective communication skills are crucial to understand and implement the artistic vision and direction provided by supervisors and clients
Time Management: Adhere to project deadlines and milestones, managing time efficiently to deliver high-quality rotoscoping work within the given timeframe
Prioritize tasks effectively and communicate any potential issues or delays to the production team
REQUIRED SKILLS
Bachelor/Master's degree in Animation/Multimedia/VFX
2+ years of experience as Roto Artist
Experience with Digital Matte Paint and Compositing will be an added advantage
Strong written and verbal communication skills","Post production, Visual Effects, Time management, Animation, VFX, Manager Quality Control, Adobe After Effects"
Faculty / Sr. Faculty - Visual Effect,IMAGE Creative Education,0 - 5 years,Not Disclosed,Kochi/Cochin,30+ days ago,1,317,"Faculty / Sr. Faculty - Visual Effect
Job Title Faculty / Sr. Faculty - Visual Effect Location Chennai / Bangalore / Hyderabad / Kerala Experience A minimum of 0 - 5 years of experience teaching Experience (or) Industrial Experience Skills and Specifications
Having experience as a VFX / After Effects / Compositing
Familiarity with all Visual Effect software like nuke, etc.
Having good communication in English
Interested candidates can mail their resumes along with their blog link / You tube Link
Qualification Any Diploma (or) Bachelor Degree (or) Masters Degree required","Faculty, VFX, Teaching Faculty, Teaching"
